,brand,model_listing,price,shipping
0,DELL,"Refurbished: DELL Laptop E7240 Intel Core i5 4th Gen 4300U (1.90 GHz) 16 GB Memory 128 GB SSD 12.5"" Windows 10 Home 64-Bit",$296.99,$2.99 Shipping
1,HP,"Refurbished: HP Grade A Elitebook 820G2 12.5"" Laptop Intel Core i7 5th Gen 5600U (2.60 GHz) 8 GB DDR3L 360 GB SSD WIFI Bluetooth Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$490.99,$2.99 Shipping
2,HP,"Refurbished: HP Grade A Elitebook 820G2 12.5"" Laptop Intel Core i7 5th Gen 5600U (2.60 GHz) 8 GB DDR3L 500 GB WIFI Bluetooth Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$451.99,$2.99 Shipping
3,HP,"Refurbished: HP Grade A Elitebook 820G2 12.5"" Laptop Intel Core i7 5th Gen 5600U (2.60 GHz) 16 GB DDR3L 500 GB WIFI Bluetooth Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$518.99,$2.99 Shipping
4,HP,"Refurbished: HP Grade A Elitebook 820G2 12.5"" Laptop Intel Core i7 5th Gen 5600U (2.60 GHz) 8 GB DDR3L 512 GB SSD WIFI Bluetooth Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$507.99,$2.99 Shipping
5,HP,"Refurbished: HP Grade A Elitebook 820G2 12.5"" Laptop Intel Core i7 5th Gen 5600U (2.60 GHz) 8 GB DDR3L 240 GB SSD WIFI Bluetooth Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$482.99,$2.99 Shipping
6,Lenovo,"Refurbished: Lenovo ThinkPad T430 14.0"" Laptop - Intel Core i5 3320M 3rd Gen 2.6 GHz 8GB 256GB SSD DVD-RW Windows 10 Pro 64-Bit - Webcam",$263.99,$2.99 Shipping
7,DELL,"Refurbished: DELL Grade B Laptop E7250 Intel Core i3 5005U (2.0 GHz) 8 GB Memory 128 GB SSD 12.5"" Windows 10",$214.99,$2.99 Shipping
8,Lenovo,"Refurbished: Lenovo B Grade Laptop T450 Intel Core i7 5th Gen 5600U (2.60 GHz) 8 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$390.99,$2.99 Shipping
9,DELL,"Refurbished: DELL B Grade Laptop Precision M6700 Intel Core i7 3rd Gen 3740QM (2.70 GHz) 8 GB Memory 500 GB HDD NVIDIA Quadro K3000M 17.3"" Windows 10 Pro 64-Bit",$363.99,$2.99 Shipping
10,HP,"Refurbished: Refurbished HP Grade A EliteBook 840G2 14"" Laptop, Intel Core i5 5th Gen 5300U (2.3 GHz), 8GB DDR3L, 512GB SSD, Win 10 Pro 64-bit, 1 Year Warranty",$424.99,Free Shipping
11,DELL,"Refurbished: DELL Laptop Latitude E6410 Intel Core i5 1st Gen 450M (2.40 GHz) 8 GB Memory 256 GB SSD 14.1"" Windows 10 Pro 64-Bit",$279.99,$3.99 Shipping
12,DELL,"Refurbished: DELL B Grade Laptop E5450 Intel Core i5 5th Gen 5300U (2.30 GHz) 8 GB Memory 500 GB HDD 14.0"" Windows 10 Pro 64-Bit",$432.99,$2.99 Shipping
13,Lenovo,"Refurbished: Lenovo Laptop T430 Intel Core i5 3320M (2.60 GHz) 16 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$385.99,$3.99 Shipping
14,DELL,"Refurbished: DELL A Grade Laptop E5430 Intel Core i5 3rd Gen 3320M (2.60 GHz) 16 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$379.99,$2.99 Shipping
15,HP,"Refurbished: HP Laptop EliteBook 8470P Intel Core i5 3rd Gen 3320M (2.60 GHz) 8 GB Memory 320 GB HDD 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$319.99,Free Shipping
16,DELL,"Refurbished: DELL Laptop E5470 Core i7 6820HQ (2.70 GHz) 16 GB Memory 480 SSD 14.0"" Windows 10",$512.99,$2.99 Shipping
17,DELL,"Refurbished: DELL Laptop E7250 Intel Core i5 5th Gen 5300U (2.30 GHz) 8 GB Memory 500 GB SSD Intel HD Graphics 5500 12.5"" Windows 10 Pro 64-Bit",$352.99,$2.99 Shipping
