,brand,model_listing,price,shipping
0,Acer America,"Acer Laptop Swift 5 SF514-54T-5428 Intel Core i5 10th Gen 1035G1 (1.00 GHz) 8 GB LPDDR4 Memory 512 GB SSD Intel UHD Graphics 14"" Touchscreen Windows 10 Home 64-bit",$899.99,$2.99 Shipping
1,MSI,"MSI Laptop Modern 14 A10M-460 Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 512 GB NVMe SSD 14.0"" Windows 10 Home 64-bit",$749.00,$2.99 Shipping
2,Acer America,"Acer Chromebook 512 C851T-C253 12"" Touchscreen Chromebook - 1366 x 912 - Celeron N4000 - 4 GB RAM - 32 GB Flash Memory - Black",$386.99,$2.99 Shipping
3,AORUS,"GIGABYTE AORUS 17 XA Gaming Laptop - 17.3"" FHD 240 Hz - Intel Core 9th Gen i7-9750H (2.60 GHz) - NVIDIA GeForce RTX 2070 GDDR6 8 GB - 16 GB DDR4 RAM - 512 GB M.2 PCIe SSD - Windows 10 - XA-7US2130SH","$2,199.00",Free Shipping
4,Microsoft,"Microsoft Surface Laptop 3 - 15"" Touch-Screen - AMD Ryzen 5 Microsoft Surface Edition - 16 GB Memory - 256 GB Solid State Drive - Platinum","$1,699.00",$2.99 Shipping
5,GIGABYTE,AERO 15 SA-7US2130SH FHD 240 Hz i7-9750H NVIDIA GeForce GTX 1660 Ti 6 GB GDDR6 16 GB RAM 512 GB M.2 PCIe SSD Win 10 Gaming Laptop,"$1,819.00",Free Shipping
6,MSI,"MSI Creator 15M A9SE-043 15.6"" 120Hz FHD Creator Laptop Intel Core i7-9750H RTX2060 16GB 1TB NVMe SSD Win10","$1,399.99",Free Shipping
7,MSI,"MSI Laptop P Series P65 Creator-654 Intel Core i9 9th Gen 9880H (2.30 GHz) 32 GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 2070 15.6"" 4K/UHD Windows 10 Pro 64-bit","$2,699.00",Free Shipping
8,HP,"HP EliteBook 840 G6 14"" Notebook - Core i5 i5-8365U - 16 GB RAM - 512 GB SSD - In-plane Switching (IPS) Technology - Intel Optane Memory Ready","$2,667.99",$7.99 Shipping
9,Lenovo,"Lenovo ThinkPad P53 Mobile Workstation 20QN001VUS - Intel Six Core i7-9850H, 16GB RAM, 512GB PCIe NVMe SSD, 15.6"" HDR 400 FHD IPS 500nits Display, NVIDIA Quadro T2000 4GB Graphics, Windows 10 Pro","$2,347.99",$8.69 Shipping
