,product_category,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,Laptops / Notebooks,GIGABYTE,"GIGABYTE AERO 15 Classic-SA-U74ADP Gaming Laptop - 15.6"" 4K/UHD IPS - Intel Core i7-9750H 2.60 GHz - NVIDIA GeForce GTX 1660 Ti - 16 GB Memory 512 GB SSD - Windows 10 Pro 64-bit",,1379.0,0.0,https://www.newegg.com/p/N82E16834233304,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-233-304-S01.jpg
1,Laptops / Notebooks,ASUS,"ASUS VivoBook S15 S532 Thin & Light 15.6"" FHD, Intel Core i7-8565U CPU, 8 GB DDR4 RAM, PCIe NVMe 512 GB SSD, Windows 10 Home, S532FA-SB77, Transparent Silver","Save $20 w/ Win10 Pro upgrade purchase, limited offer",749.99,0.0,https://www.newegg.com/transparent-silver-asus-vivobook-s15-s532fa-sb77-mainstream/p/N82E16834235247,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-247-V17.jpg
2,Laptops / Notebooks,ASUS,"Asus TUF Gaming Laptop, 15.6"" Full HD IPS-Type, Intel Core i7-9750H, GeForce GTX 1650, 8 GB DDR4, 512 GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, TUF505GT-AH73 Notebook PC Computer",,799.99,0.0,https://www.newegg.com/metal-tank-gray-asus-tuf-gaming-tuf505gt-ah73-gaming-entertainment/p/1TS-001A-010U1,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/1TS-001A-010U1-S01.jpg
3,Laptops / Notebooks,ASUS,"ASUS VivoBook S15 S532 Thin & Light 15.6"" FHD, Intel Core i7-8565U CPU, GeForce MX250, 8 GB DDR4 RAM, 256 GB PCIe NVMe SSD, IR Camera, Windows 10 Home, S532FL-EB71, Transparent Silver","Save $20 w/ Win10 Pro upgrade purchase, limited offer",799.99,0.0,https://www.newegg.com/transparent-silver-metal-asus-vivobook-s15-s532fl-eb71-mainstream/p/N82E16834235252,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-252-V15.jpg
4,Laptops / Notebooks,Lenovo,"Lenovo Laptop 100e 81CYX503US Intel Celeron N3450 (1.10 GHz) 4 GB LPDDR4 Memory 128 GB eMMC Intel HD Graphics 500 11.6"" Windows 10 Pro 64-bit",,249.99,0.0,https://www.newegg.com/lenovo-81cyx503us/p/N82E16834845914,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-845-914-S01.jpg
5,Laptops / Notebooks,ASUS,"ASUS ZenBook S13 Ultra Thin & Light Laptop 13.9"" FHD, Intel Core i7-8565U CPU, GeForce MX150, 8 GB RAM, 512 GB PCIe SSD, Windows 10 Pro, Silver Blue, UX392FN-XS71","Save $279.99 w/ ASUS Zenfone Max (value of $299.99) combo purchase, limited offer",999.99,0.0,https://www.newegg.com/utopia-blue-asus-zenbook-ux392fn-xs71-mainstream/p/N82E16834235175,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-175-V19.jpg
6,Laptops / Notebooks,ASUS,"ASUS VivoBook S14 S432 Thin and Light 14"" FHD, Intel Core i7-8565U CPU, 8 GB RAM, 512 GB PCIe NVMe SSD, IR Camera, Windows 10 Home, S432FA-AB74, Transparent Silver","Save $20 w/ Win10 Pro upgrade purchase, limited offer",749.99,0.0,https://www.newegg.com/transparent-silver-asus-vivobook-s14-s432-mainstream/p/N82E16834235321,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8X5S2001298HDjt.jpg
7,Laptops / Notebooks,HP,"HP Laptop ProBook 450 G6 (5VC00UT#ABA) Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" 1920 x 1080 Windows 10 Pro 64-bit",,849.0,0.0,https://www.newegg.com/natural-silver-hp-probook-450-g6-mainstream/p/1TS-000D-039R3,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A19P_1_201904111655030926.jpg
8,Laptops / Notebooks,ASUS,"ASUS ZenBook 14 Ultra-Slim Laptop 14"" Full HD 4-Way NanoEdge Bezel, AMD R7 3700U CPU, 8 GB RAM, 512 GB PCIe SSD, NumberPad, Windows 10 - UM433DA-DH75, Icicle Silver",,799.99,2.99,https://www.newegg.com/icicle-silver-asus-zenbook-um433da-dh75-mainstream/p/N82E16834235302,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-302-V01.jpg
9,Laptops / Notebooks,ASUS,"ASUS ZenBook 14 Ultra-Slim Laptop 14"" Full HD 4-Way NanoEdge Bezel, AMD R7 3700U CPU, 16 GB DDR4, 1 TB PCIe SSD, Windows 10 Pro - UM433DA-NH74, Icicle Silver",,899.99,0.0,https://www.newegg.com/icicle-silver-asus-zenbook-um433da-nh74-mainstream/p/N82E16834235285,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-285-V19.jpg
