,brand,model_listing,price,shipping
0,DELL,"Refurbished: Refurbished Dell Grade A Precision M4700 15.6"" Laptop, Intel Core I7-3720QM 2.6 GHz, 8GB Memory, 512G SSD, DVD, 1G DG, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$541.99,$2.99 Shipping
1,Lenovo,"Refurbished: Lenovo Laptop T460 Intel Core i5 6300U (2.40 GHz) 16 GB Memory 1000 SSD 14.0"" Windows 10",$590.99,Free Shipping
2,DELL,"Refurbished: DELL Laptop E7270 Intel Core i5 6300U (2.40 GHz) 16 GB Memory 1000 SSD 12.5"" Windows 10",$494.99,$2.99 Shipping
3,DELL,"Refurbished: Refurbished Dell Grade A Precision M4700 15.6"" Laptop, Intel Core I7-3720QM 2.6 GHz, 8GB Memory, 1T SSD, DVD, 1G DG, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$579.99,$2.99 Shipping
4,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T450 Laptop, Intel Core I5 5300U 2.3GHz, 8G DDR3L, 1T, WIFI, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$413.99,$2.99 Shipping
5,HP,"Refurbished: HP Grade A Elitebook Folio 9480M 14.0"" Laptop Intel Core i5 4th Gen 4310U (2.00 GHz) 16 GB DDR3L 512 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$479.99,$2.99 Shipping
6,DELL,"Refurbished: Refurbished Dell Latitude E6320 13.3"" Intel Core i7-2620M 2.7GHz 8GB DDR3 1TB DVD Windows 10 Professional 64 Bits 1 Year Warranty",$384.99,$2.99 Shipping
7,HP,"Refurbished: Refurbished HP Grade A Zbook 15 G2, Intel Core I7-4810MQ 2.8 GHz, 16GB Memory, 1T, DVDRW, 1G GDDR5 DG, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$629.99,$2.99 Shipping
8,HP,"Refurbished: HP Grade A Probook 640G1 14.0"" Laptop Intel Core i5 4th Gen 4200M (2.50 GHz) 16 GB DDR3L 256 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$449.99,$2.99 Shipping
9,HP,"Refurbished: HP Laptop 8440P Intel Core i5 2.40 GHz 4 GB Memory 256 GB SSD 14.1"" Windows 10 Pro 64-Bit",$259.99,$2.99 Shipping
