,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,,Computer Systems,Laptops / Notebooks,3,Lenovo,"Lenovo Legion Y7000P Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 128GB NVMe SSD + 1TB HDD, NVIDIA GeForce GTX 1060, HDMI, Mini DP, Wi-Fi, BT, Windows 10 Home (81LF0001US)",Free Expedited Shipping,1787.49,0.0,https://www.newegg.com/steel-gray-lenovo-legion-y7000p/p/1TS-000E-0FD40?Item=9SIAA0SAKB3846,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20191118769623308.jpg
1,,Computer Systems,Laptops / Notebooks,3,Lenovo,"Lenovo Legion Y7000P Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 256GB NVMe SSD +1TB HDD, NVIDIA GeForce GTX 1060, HDMI, Mini DisplayPort, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1806.99,0.0,https://www.newegg.com/steel-gray-lenovo-legion-y7000p/p/1TS-000E-0FD79?Item=9SIAEYAAKB4168,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_20191118553512748.jpg
2,1TS-000A-038F2,Computer Systems,Laptops / Notebooks,3,DELL,"Dell G Series 15.6"" IPS Full HD Laptop, Intel 6-Core i7-8750H Upto 4.10GHz, 16GB DDR4, 240GB SSD, NVIDIA GeForce GTX 1060 Max Q 6GB, Thunderbolt 3, HDMI, Card Reader, Windows 10 Home",Free Expedited Shipping,1249.98,0.0,https://www.newegg.com/black-dell-g-series-7588-gaming-entertainment/p/1TS-000A-038F2?Item=9SIAEYA7YU2383,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AA0S_1_201904031317845281.jpg
3,1TS-000A-06H62,Computer Systems,Laptops / Notebooks,3,DELL,"Dell G7 Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 256GB SSD, NVIDIA GeForce GTX 1060, HDMI, Thunderbolt, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1089.99,0.0,https://www.newegg.com/black-dell-g7/p/1TS-000A-06H62?Item=9SIAEYAAD56765,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_201910111606790770.jpg
4,,Computer Systems,Laptops / Notebooks,3,Lenovo,"Lenovo Legion Y7000P Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 256GB NVMe SSD, NVIDIA GeForce GTX 1060, HDMI, Mini DisplayPort, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1761.49,0.0,https://www.newegg.com/steel-gray-lenovo-legion-y7000p/p/1TS-000E-0FD83?Item=9SIAEYAAKB4172,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_20191118450838751.jpg
5,,Computer Systems,Laptops / Notebooks,3,Lenovo,"Lenovo Legion Y7000P Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 256GB NVMe SSD + 1TB HDD, NVIDIA GeForce GTX 1060, HDMI, Mini DisplayPort, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,1832.99,0.0,https://www.newegg.com/steel-gray-lenovo-legion-y7000p/p/1TS-000E-0FD54?Item=9SIAA0SAKB3860,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_2019111878922227.jpg
6,,Computer Systems,Laptops / Notebooks,3,Lenovo,"Lenovo Legion Y7000P Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 128GB NVMe SSD + 1TB HDD, NVIDIA GeForce GTX 1060, HDMI, Mini DisplayPort, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,1806.99,0.0,https://www.newegg.com/steel-gray-lenovo-legion-y7000p/p/1TS-000E-0FD42?Item=9SIAA0SAKB3848,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20191118652430715.jpg
7,1TS-000E-0DF15,Computer Systems,Laptops / Notebooks,3,Lenovo,"Lenovo Legion Y530 Gaming Laptop, 15.6"" FHD Display, Intel 6-Core i7-8750H Upto 4.1GHz, 16GB RAM, 128GB NVMe SSD + 1TB HDD, GTX 1050Ti 4GB, HDMI, MiniDP, Backlit Keys, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,1129.99,0.0,https://www.newegg.com/black-lenovo-legion-y530/p/1TS-000E-0DF15?Item=9SIAA0S97C2643,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20190507322613500.jpg
8,1TS-000A-038G1,Computer Systems,Laptops / Notebooks,3,DELL,"Dell G Series 15.6"" IPS Full HD Laptop, Intel 6-Core i7-8750H Upto 4.10GHz, 16GB DDR4, 128GB SSD, NVIDIA GeForce GTX 1060 Max Q 6GB, Thunderbolt 3, HDMI, Card Reader, Windows 10 Home",Free Expedited Shipping,1229.98,0.0,https://www.newegg.com/black-dell-g-series-7588-gaming-entertainment/p/1TS-000A-038G1?Item=9SIAEYA7YU2419,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AA0S_1_201904031317845281.jpg
9,1TS-000D-06524,Computer Systems,Laptops / Notebooks,3,HP,"HP 15-dw0035cl Home Office Laptop (Intel i7-8565U 4-Core, 16GB RAM, 256GB PCIe SSD, 15.6"" Touch  HD (1366x768), Intel UHD 620, Wifi, Bluetooth, Win 10 Home) with 2YR Ext Warranty+Damage Protection",,1174.80,0.0,https://www.newegg.com/p/1TS-000D-06524?Item=9SIA7ABA2N0310,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201909181065508147.jpg
