,brand,model_listing,price,shipping
0,DELL,"Refurbished: Refurbished: Dell Grade A Latitude E6430, Intel Core I5-3320M 2.6GHz, 8G DDR3, 512G SSD, DVD, Win 10 Home 64-bit, 1 Year Warranty",$357.99,$2.99 Shipping
1,DELL,"Refurbished: Refurbished Dell Grade A Latitude E6430 14"" Laptop, Intel Core i5 3rd Gen 3320M (2.6 GHz), 4GB DDR3, 360GB SSD, DVD, Win 10 Pro 64-bit, 1 Year Warranty",$340.99,$2.99 Shipping
2,DELL,"Refurbished: Refurbished Dell Grade A Latitude E6430 14"" Laptop, Intel Core i5 3rd Gen 3320M (2.6 GHz), 4GB DDR3, 250GB, DVD, Win 10 Pro 64-bit, 1 Year Warranty",$285.99,$2.99 Shipping
3,DELL,"Refurbished: Refurbished Dell Grade A Latitude E6430 14"" Laptop, Intel Core i5 3rd Gen 3320M (2.6 GHz), 8GB DDR3, 360GB SSD, DVD, Win 10 Pro 64-bit, 1 Year Warranty",$361.99,Free Shipping
4,Microsoft,"Refurbished: Microsoft Laptop Surface Laptop 2 DAT-00009 Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 13.5"" Touchscreen Windows 10 Home 64-bit",$789.99,$2.99 Shipping
5,DELL,"Refurbished: DELL Laptop Vostro 5490 Intel Core i7 10th Gen 10510U (1.80 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce MX250 14.0"" Windows 10 Pro 64-bit",$659.99,$2.99 Shipping
6,HP,"Refurbished: HP Laptop 15-DW0091NR Intel Core i7 8th Gen 8565U (1.80 GHz) 12 GB Memory 128 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Home 64-bit",$519.99,$2.99 Shipping
7,Microsoft,"Refurbished: Microsoft Laptop Surface Laptop 2 LUJ-00001 Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 13.5"" Touchscreen Windows 10 Home 64-bit",$789.99,$2.99 Shipping
8,DELL,"Refurbished: DELL Laptop Latitude 5300 Intel Core i5 8th Gen 8365U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 13.3"" Touchscreen Windows 10 Pro 64-bit",$584.99,$2.99 Shipping
9,Microsoft,"Refurbished: Microsoft Laptop Surface Laptop 2 LUX-00005 Intel Core i7 8th Gen 8650U (1.90 GHz) 16 GB Memory 512 GB SSD Intel UHD Graphics 620 13.5"" Touchscreen Windows 10 Pro 64-bit","$1,439.99",$2.99 Shipping
