,product_category,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,Laptops / Notebooks,DELL,"2019 Dell Inspiron 5000 2-in-1 14.0"" HD Touchscreen Customized Laptop | 8th Gen Intel Core i3-8145U | 16GB RAM 256GB SSD | Dual Disk Option | Windows 10 Gray Only 3.8lb",,525.29,0.0,https://www.newegg.com/p/1TS-000A-06PY8?Item=9SIAJZDAFZ1425,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_201910302002666995.jpg
1,Laptops / Notebooks,DELL,"2019 Dell Inspiron 5000 2-in-1 14.0"" HD Touchscreen Customized Laptop | 8th Gen Intel Core i3-8145U | 16GB RAM 256GB SSD 1TB HDD | Dual Disk Option | Windows 10 Gray Only 3.8lb",,564.20,0.0,https://www.newegg.com/p/1TS-000A-06PZ6?Item=9SIAJZDAFZ1433,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_201910302002666995.jpg
2,Laptops / Notebooks,HP,Newest HP 14 Premium HD Micro-edge Laptop |10Th Intel Core i3-1005G1|16GB DDR4|256GB M.2 SSD| Wi-Fi | Fast Charge| HDMI | Windows 10 | Natural Silver,,491.99,0.0,https://www.newegg.com/p/1TS-000D-06XV5?Item=9SIAEYJAHZ1088,//c1.neweggimages.com/ProductImageCompressAll300/AEYJ_1_201911111867823963.jpg
3,Laptops / Notebooks,DELL,"2019 Dell Inspiron 5000 2-in-1 14.0"" HD Touchscreen Customized Laptop | 8th Gen Intel Core i3-8145U | 16GB RAM 256GB SSD 500GB HDD | Dual Disk Option | Windows 10 Gray Only 3.8lb",,544.75,0.0,https://www.newegg.com/p/1TS-000A-06PZ2?Item=9SIAJZDAFZ1429,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_201910302002666995.jpg
4,Laptops / Notebooks,HP,Newest HP 14 inch Slim HD Micro-edge Laptop | AMD Ryzen 3 |16GB DDR4|256GB M.2 SSD| Wi-Fi | HDMI | Windows 10 | Gold,,539.99,0.0,https://www.newegg.com/p/1TS-000D-06Z41?Item=9SIAEYJAJ25979,//c1.neweggimages.com/ProductImageCompressAll300/AEYJ_1_20191111947728874.jpg
5,Laptops / Notebooks,HP,"HP Laptop EliteBook 1040 G4 3NU56UT#ABA Intel Core i7 7th Gen 2.9 GHz 16 GB Memory 256 GB SSD Intel HD Graphics 630 14.0"" Touchscreen Windows 10 Pro 64-bit",,2186.99,0.0,https://www.newegg.com/hp-elitebook-1040-g4-3nu56ut-aba-mainstream/p/N82E16834269387?Item=9SIA19PA7T3360,//c1.neweggimages.com/ProductImageCompressAll300/34-269-387-S01.jpg
6,Laptops / Notebooks,HP,"HP Laptop EliteBook 1040 G4 Intel Core i5 7th Gen 7300U (2.60 GHz) 16 GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Touchscreen Windows 10 Pro 64-Bit",,1251.99,11.99,https://www.newegg.com/silver-hp-elitebook-1040-g4-mainstream/p/N82E16834269450?Item=9SIAD6H74W7377,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-269-450-V07.jpg
7,Laptops / Notebooks,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop - Intel Core i5-8250U, 16GB RAM, 256GB PCIe NVMe SSD, 14"" IPS FHD (1920x1080) Matte Display, Fingerprint Reader, Smart Card ReaderBlack Color",,1319.99,0.0,https://www.newegg.com/p/1TS-000E-0A1A6?Item=9SIA8TK8A11788,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/V0E4_1_20190130807883272.jpg
8,Laptops / Notebooks,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop - Intel Core i7-8550U, 16GB RAM, 256GB NVMe SSD, 14"" IPS FHD Touch (1920x1080)  Display, Fingerprint Reader, Smart Card ReaderBlack",,1649.99,0.0,https://www.newegg.com/p/1TS-000E-0A165?Item=9SIA8TK8A11747,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20180727843708741.jpg
9,Laptops / Notebooks,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop - i7-8550U, 16GB RAM, 256GB PCIe NVMe SSD, 14"" IPS WQHD (2560x1440) Matte Display, Fingerprint Reader, Smart Card Reader, Black",,1759.99,0.0,https://www.newegg.com/p/1TS-000E-0A1F8?Item=9SIA8TK8A11840,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20180727843708741.jpg
