,product_category,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,Laptops / Notebooks,HP,"HP EliteBook 840 G5 Premium School and Business Laptop (Intel 8th Gen i7-8550U Quad-Core, 16GB RAM, 256GB PCIe SSD, 14"" FHD 1920x1080 Sure View Display, Thunderbolt3, NFC, Fingerprint, Win 10 Pro)",Free Expedited Shipping,1449.00,0.0,https://www.newegg.com/p/1TS-000D-032G0?Item=9SIA7AB8D73120,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201811092013621813.jpg
1,Laptops / Notebooks,Lenovo,"Lenovo ThinkBook 14s Notebook, 14"" FHD Display, Intel Core i7-8565U Upto 4.6GHz, 16GB RAM, 256GB NVMe SSD, AMD Radeon 540X, HDMI, Wi-Fi, Bluetooth, Windows 10 Pro","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",999.99,0.0,https://www.newegg.com/silver-lenovo-thinkbook-14s/p/1TS-000E-0HM31?Item=9SIAA0SB0R0608,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20200212323015877.jpg
2,Laptops / Notebooks,HP,"HP EliteBook 840 G3 Notebook, 14"" FHD Display, Intel Core i5-6300U Upto 3.0GHz, 16GB RAM, 256GB SSD, VGA, DisplayPort, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",799.99,0.0,https://www.newegg.com/silver-hp-elitebook-840-g3/p/1TS-000D-088T8?Item=9SIAA0SAZC1017,//c1.neweggimages.com/ProductImageCompressAll300/V0N6_1_202002281492137480.jpg
3,Laptops / Notebooks,DELL,"Dell Inspiron 14 3000 Notebook, 14"" HD Display, Intel Core i5-1035G4 Upto 3.7GHz, 16GB RAM, 256GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro S","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",649.99,0.0,https://www.newegg.com/black-textured-dell-inspiron-14-3000/p/1TS-000A-07BK6?Item=9SIAA0SAT41717,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20191223186419094.jpg
4,Laptops / Notebooks,HP,"HP 14 Notebook, 14"" HD Display, Intel Core i5-1035G4 Upto 3.70GHz, 16GB RAM, 256GB SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",649.99,0.0,https://www.newegg.com/silver-hp-14dq/p/1TS-000D-07875?Item=9SIAA0SAMD3196,//c1.neweggimages.com/ProductImageCompressAll300/AA0SS191126Qu4dh.jpg
5,Laptops / Notebooks,HP,"HP 14-DQ1033CL Everyday Value Laptop (Intel i5-1035G4 4-Core, 16GB RAM, 256GB m.2 SATA SSD, 14"" Full HD (1920x1080), Intel Iris Plus Graphics, Wifi, Bluetooth, Webcam, 2xUSB 3.0, Win 10 Pro in S-Mode)",Free Expedited Shipping,1078.80,0.0,https://www.newegg.com/p/1TS-000D-07YS3?Item=9SIA7ABAX52514,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201912201034267132.jpg
6,Laptops / Notebooks,Lenovo,"2019 Lenovo ThinkPad T470 14"" IPS Full HD FHD (1920x1080) Business Laptop (Intel Core i5-6300U, 16GB DDR4 RAM, 256GB PCIe NVMe M.2 SSD) Thunderbolt, Type-C, HDMI RJ-45, Windows 10 Professional 64 Bit",,899.99,0.0,https://www.newegg.com/p/1TS-000E-0FB06?Item=9SIADG3AHU7773,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/ADG3_132177430963831643QjullG0GQ8.jpg
7,Laptops / Notebooks,HP,"HP 14-DQ1033CL Everyday Value Laptop (Intel i5-1035G4 4-Core, 16GB RAM, 256GB PCIe SSD, 14"" Full HD (1920x1080), Intel Iris Plus Graphics, Wifi, Bluetooth, Webcam, 2xUSB 3.0, Win 10 Pro in S-Mode)",,1078.80,0.0,https://www.newegg.com/p/1TS-000D-07KD7?Item=9SIA7ABAUR2768,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201912201034267132.jpg
8,Laptops / Notebooks,HP,Newest HP 14 Premium HD Micro-edge Laptop |10Th Intel Core i3-1005G1|16GB DDR4|256GB M.2 SSD| Wi-Fi | Fast Charge| HDMI | Windows 10 | Pale Gold,,491.99,0.0,https://www.newegg.com/p/1TS-000D-06Z23?Item=9SIAEYJAJ24029,//c1.neweggimages.com/ProductImageCompressAll300/AEYJ_1_2019111194440215.jpg
9,Laptops / Notebooks,Lenovo,"Lenovo Flagship ThinkPad T470 14"" FHD Multi-Touch Anti-Glare Laptop | Intel Dual Core i5-6300U | 16GB RAM | 256GB PCIe SSD | WiFi | HDMI | Fingerprint Reader | USB-C | Webcam | Windows 10 Pro",,849.99,0.0,https://www.newegg.com/p/1TS-000E-0F3A0?Item=9SIAEYJA7D2822,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AEYJ_132152450396542621xnrK8dT7Uc.jpg
10,Laptops / Notebooks,HP,"HP ProBook 645 G4 Notebook, 14"" HD, AMD Quad-Core Ryzen 7 2700U Upto 3.8GHz, 16GB RAM, 256GB SSD, Radeon RX Vega 10, VGA, HDMI, Card Reader, Backlit Keyboard, Wi-Fi, BT, Windows 10 Pro","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",999.99,0.0,https://www.newegg.com/natural-silver-hp-probook-645-g4-standard/p/1TS-000D-045N6?Item=9SIAA0S98M0151,//c1.neweggimages.com/ProductImageCompressAll300/V1DS_1_20190516926373216.jpg
11,Laptops / Notebooks,HP,"HP 14"" HD Customized Laptop | 10th Gen Intel Quad-Core i5-1035G4 Processor up to 3.7 GHz | 16GB RAM 256GB SSD | USB Type-C | HDMI | Card Reader | Windows 10 | Silver Only 3.2lb",,654.52,0.0,https://www.newegg.com/p/1TS-000D-084J4?Item=9SIAJZDAWC4523,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200113712419307.jpg
12,Laptops / Notebooks,HP,"HP ProBook 445R G6 Notebook, 14"" FHD Display, AMD Ryzen 5 3500U Upto 3.7GHz, 16GB RAM, 256GB NVMe SSD, Vega 8, HDMI, DisplayPort via USB-C, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",899.99,0.0,https://www.newegg.com/silver-hp-probook-445r-g6/p/1TS-000D-09929?Item=9SIAA0SB1C3494,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20200218199887400.jpg
