,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-001A-026X2,Computer Systems,Laptops / Notebooks,7,ASUS,"Asus 15.6"" TUF505GT Customized Gaming Laptop | Hexa Core Intel i7-9750H Processor | 16GB RAM 128GB SSD 1TB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1101.28,0.0,https://www.newegg.com/p/1TS-001A-026X2?Item=9SIAJZDB917916,//c1.neweggimages.com/ProductImageCompressAll300/AEYJS200322pPYL8.jpg
1,1TS-001A-026W8,Computer Systems,Laptops / Notebooks,7,ASUS,"Asus 15.6"" TUF505GT Customized Gaming Laptop | Hexa Core Intel i7-9750H Processor | 16GB RAM 128GB SSD 500GB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1079.89,0.0,https://www.newegg.com/p/1TS-001A-026W8?Item=9SIAJZDB917912,//c1.neweggimages.com/ProductImageCompressAll300/AEYJS200322pPYL8.jpg
2,1TS-001A-01WR4,Computer Systems,Laptops / Notebooks,7,ASUS,"2019 ASUS ROG Strix G 15.6"" Customized Gaming Laptop | Hexa Core Intel i7-9750H Mobile Processor | 16GB RAM 256GB SSD 500GB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1042.98,0.0,https://www.newegg.com/p/1TS-001A-01WR4?Item=9SIAJZDB023368,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200204715673546.jpg
3,1TS-001A-026X6,Computer Systems,Laptops / Notebooks,7,ASUS,"Asus 15.6"" TUF505GT Customized Gaming Laptop | Hexa Core Intel i7-9750H Processor | 16GB RAM 128GB SSD 2TB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1129.81,0.0,https://www.newegg.com/p/1TS-001A-026X6?Item=9SIAJZDB917920,//c1.neweggimages.com/ProductImageCompressAll300/AEYJS200322pPYL8.jpg
4,1TS-001A-026Z6,Computer Systems,Laptops / Notebooks,7,ASUS,"Asus 15.6"" TUF505GT Customized Gaming Laptop | Hexa Core Intel i7-9750H Processor | 16GB RAM 256GB SSD 500GB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1101.28,0.0,https://www.newegg.com/p/1TS-001A-026Z6?Item=9SIAJZDB917940,//c1.neweggimages.com/ProductImageCompressAll300/AEYJS200322pPYL8.jpg
5,1TS-000E-0J028,Computer Systems,Laptops / Notebooks,7,Lenovo,"Lenovo Legion Y540 15.6"" Customized Gaming Laptop | Hexa Core Intel i7-9750H Mobile Processor | 16GB RAM 128GB SSD 2TB HDD |GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1182.05,0.0,https://www.newegg.com/p/1TS-000E-0J028?Item=9SIAJZDB6K7018,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200316596143060.jpg
6,1TS-001A-026W5,Computer Systems,Laptops / Notebooks,7,ASUS,"Asus 15.6"" TUF505GT Customized Gaming Laptop | Hexa Core Intel i7-9750H Processor | 16GB RAM 128GB SSD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1058.49,0.0,https://www.newegg.com/p/1TS-001A-026W5?Item=9SIAJZDB917909,//c1.neweggimages.com/ProductImageCompressAll300/AEYJS200322pPYL8.jpg
7,1TS-001A-01WT3,Computer Systems,Laptops / Notebooks,7,ASUS,"2019 ASUS ROG Strix G 15.6"" Customized Gaming Laptop | Hexa Core Intel i7-9750H Mobile Processor | 16GB RAM 128GB SSD 500GB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1024.02,0.0,https://www.newegg.com/p/1TS-001A-01WT3?Item=9SIAJZDB023387,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200204715673546.jpg
8,1TS-000E-0J5W5,Computer Systems,Laptops / Notebooks,7,Lenovo,"Lenovo ThinkPad T490 Home and Business Laptop (Intel i7-8565U 4-Core, 16GB RAM, 256GB PCIe SSD, 14.0"" Touch  Full HD (1920x1080), Intel UHD 615, Fingerprint, Wifi, Win 10 Pro) with HP Thunderbolt Dock",,1899.00,0.0,https://www.newegg.com/p/1TS-000E-0J5W5?Item=9SIA7ABB9P4247,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_202004031809615494.jpg
9,1TS-000E-0J070,Computer Systems,Laptops / Notebooks,7,Lenovo,"Lenovo Legion Y540 15.6"" Customized Gaming Laptop | Hexa Core Intel i7-9750H Mobile Processor | 16GB RAM 128GB SSD 1TB HDD |GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1156.76,0.0,https://www.newegg.com/p/1TS-000E-0J070?Item=9SIAJZDB6K7060,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200316596143060.jpg
10,1TS-001A-026R2,Computer Systems,Laptops / Notebooks,7,ASUS,"Asus 15.6"" TUF505GT Customized Gaming Laptop | Hexa Core Intel i7-9750H Processor | 16GB RAM 128GB SSD 500GB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1079.89,0.0,https://www.newegg.com/p/1TS-001A-026R2?Item=9SIAJZDB917847,//c1.neweggimages.com/ProductImageCompressAll300/AEYJS200322pPYL8.jpg
11,1TS-000A-09X83,Computer Systems,Laptops / Notebooks,7,DELL,"Dell Alienware M15 Gaming Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 256GB NVMe SSD, GeForce RTX 2070, HDMI, Mini DisplayPort, Thunderbolt, Wi-Fi, BT, Windows 10 Pro",Free Expedited Shipping,1969.99,0.0,https://www.newegg.com/gray-dell-alienware-m15/p/1TS-000A-09X83?Item=9SIAA0SB6A2425,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20200422250262517.jpg
12,1TS-000D-09G12,Computer Systems,Laptops / Notebooks,7,HP,"HP Pavilion 15.6"" IPS FHD Premium Customized Laptop 10th Gen Intel Quad Core i7-1065G7 16GB RAM 256GB SSD 2TB HDD Microedge Touchscreen Backlit Keyboard Upto 8 Hours Mixed Usage Windows 10 Silver",,1005.55,0.0,https://www.newegg.com/p/1TS-000D-09G12?Item=9SIAJZDB8A0117,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_202004021741127560.jpg
13,1TS-001A-026N7,Computer Systems,Laptops / Notebooks,7,ASUS,"Asus 15.6"" TUF505GT Customized Gaming Laptop | Hexa Core Intel i7-9750H Processor | 16GB RAM 256GB SSD 1TB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1122.68,0.0,https://www.newegg.com/p/1TS-001A-026N7?Item=9SIAJZDB917832,//c1.neweggimages.com/ProductImageCompressAll300/AEYJS200322pPYL8.jpg
14,1TS-000E-0J062,Computer Systems,Laptops / Notebooks,7,Lenovo,"Lenovo Legion Y540 15.6"" Customized Gaming Laptop | Hexa Core Intel i7-9750H Mobile Processor | 16GB RAM 128GB SSD |GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1118.84,0.0,https://www.newegg.com/p/1TS-000E-0J062?Item=9SIAJZDB6K7052,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200316596143060.jpg
15,1TS-000D-09N62,Computer Systems,Laptops / Notebooks,7,HP,"HP ENVY x360 2-in-1 15.6"" FHD Customized Laptop | Intel Quad Core i7-10510U | 16GB RAM 256GB SSD | Touchscreen | NVIDIA MX250 2GB VDDR5 | Backlit Keyboard | Windows 10 Silver",,1072.87,0.0,https://www.newegg.com/p/1TS-000D-09N62?Item=9SIAJZDB936483,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_202004181822362498.jpg
16,1TS-000X-01TA7,Computer Systems,Laptops / Notebooks,7,Acer America,"Acer Nitro 7 15.6"" Customized Gaming Laptop | 15.6"" FHD IPS Display | Intel Hexa Core i7-9750H | 16GB RAM 128GB SSD 1TB HDD | GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1059.38,0.0,https://www.newegg.com/p/1TS-000X-01TA7?Item=9SIAJZDAZB0051,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_202001291051814696.jpg
17,1TS-000X-01TD4,Computer Systems,Laptops / Notebooks,7,Acer America,"Acer Nitro 7 15.6"" Customized Gaming Laptop | 15.6"" FHD IPS Display | Intel Hexa Core i7-9750H | 16GB RAM 256GB SSD 1TB HDD | GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1079.62,0.0,https://www.newegg.com/p/1TS-000X-01TD4?Item=9SIAJZDAZB0078,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_202001291051814696.jpg
18,1TS-000E-0J5U4,Computer Systems,Laptops / Notebooks,7,Lenovo,"Lenovo ThinkPad T490 Home and Business Laptop (Intel i7-8565U 4-Core, 16GB RAM, 256GB m.2 SATA SSD, 14.0"" Touch  Full HD (1920x1080), Intel UHD 615, Fingerprint, Win 10 Home) with HP Thunderbolt Dock",,1899.00,0.0,https://www.newegg.com/p/1TS-000E-0J5U4?Item=9SIA7ABB9P4226,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_202004031809615494.jpg
19,1TS-000E-0J066,Computer Systems,Laptops / Notebooks,7,Lenovo,"Lenovo Legion Y540 15.6"" Customized Gaming Laptop | Hexa Core Intel i7-9750H Mobile Processor | 16GB RAM 128GB SSD 500GB HDD |GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1137.80,0.0,https://www.newegg.com/p/1TS-000E-0J066?Item=9SIAJZDB6K7056,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200316596143060.jpg
20,1TS-001A-026R6,Computer Systems,Laptops / Notebooks,7,ASUS,"Asus 15.6"" TUF505GT Customized Gaming Laptop | Hexa Core Intel i7-9750H Processor | 16GB RAM 128GB SSD 1TB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1101.28,0.0,https://www.newegg.com/p/1TS-001A-026R6?Item=9SIAJZDB917851,//c1.neweggimages.com/ProductImageCompressAll300/AEYJS200322pPYL8.jpg
21,1TS-000E-0J053,Computer Systems,Laptops / Notebooks,7,Lenovo,"Lenovo Legion Y540 15.6"" Customized Gaming Laptop | Hexa Core Intel i7-9750H Mobile Processor | 16GB RAM 256GB SSD 1TB HDD |GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1175.73,0.0,https://www.newegg.com/p/1TS-000E-0J053?Item=9SIAJZDB6K7043,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200316596143060.jpg
