,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,,Computer Systems,Laptops / Notebooks,2,Lenovo,"Lenovo Legion Y7000P Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 256GB NVMe SSD, NVIDIA GeForce GTX 1060, HDMI, Mini DisplayPort, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,1787.49,0.0,https://www.newegg.com/steel-gray-lenovo-legion-y7000p/p/1TS-000E-0FD58?Item=9SIAA0SAKB3864,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_201911181028248551.jpg
1,1TS-000E-0F2E1,Computer Systems,Laptops / Notebooks,2,Lenovo,"Lenovo ThinkPad P53s Home and Business Laptop (Intel i7-8565U 4-Core, 16GB RAM, 256GB m.2 SATA SSD, 15.6"" Full HD (1920x1080), NVIDIA Quadro P520, Fingerprint, Wifi, Bluetooth, Webcam, Win 10 Pro)",,1678.80,0.0,https://www.newegg.com/p/1TS-000E-0F2E1?Item=9SIA7ABA6C2088,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191008977374025.jpg
2,1TS-000X-00YV5,Computer Systems,Laptops / Notebooks,2,Acer America,"Acer Aspire 7  15.6"" FHD IPS GTX 1050 Ti i7-8750H 16 GB Memory 256 GB SSD + 1TB HDD Windows 10 Home Gaming Laptop",,1099.00,0.0,https://www.newegg.com/p/1TS-000X-00YV5?Item=9SIADRF9008275,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/ADRF_131983677529756412Mn6eJqKJQo.jpg
3,1TS-000A-06H29,Computer Systems,Laptops / Notebooks,2,DELL,"Dell G7 Notebook, 15.6"" FHD Display, Intel Core i7-8750H Upto 4.1GHz, 16GB RAM, 256GB SSD + 1TB HDD, NVIDIA GeForce GTX 1060, HDMI, Thunderbolt, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,1139.99,0.0,https://www.newegg.com/black-dell-g7/p/1TS-000A-06H29?Item=9SIAA0SAD54138,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20191011111732183.jpg
4,1TS-000D-067U3,Computer Systems,Laptops / Notebooks,2,HP,"HP ENVY x360 Home and Business Laptop (Intel i7-8565U 4-Core, 16GB RAM, 16GB Intel Optane + 256GB  SATA SSD, 15.6"" Touch  4K UHD (3840x2160), NVIDIA GeForce MX150, Fingerprint, Wifi, Win 10 Pro)",Free Expedited Shipping,1846.80,0.0,https://www.newegg.com/p/1TS-000D-067U3?Item=9SIA7ABA2S2496,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_2019091327061973.jpg
5,1TS-000D-03Z04,Computer Systems,Laptops / Notebooks,2,HP,"HP Spectre x360 - 15 Home and Business Laptop (i7-8565U 4-Core, 16GB RAM, 256GB  PCIe SSD, 15.6"" Touch  4K UHD (3840x2160), NVIDIA GeForce MX150, Fingerprint, Wifi, Bluetooth, Webcam, Win 10 Pro)",Free Expedited Shipping,1649.00,0.0,https://www.newegg.com/p/1TS-000D-03Z04?Item=9SIA7AB97V0004,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20190424944086391.jpg
6,1TS-000D-067S4,Computer Systems,Laptops / Notebooks,2,HP,"HP ENVY x360 Home and Business Laptop (Intel i7-8565U 4-Core, 16GB RAM, 256GB  SATA SSD, 15.6"" Touch  4K UHD (3840x2160), NVIDIA GeForce MX150, Fingerprint, Wifi, Bluetooth, Webcam, Win 10 Pro)",,1798.80,0.0,https://www.newegg.com/p/1TS-000D-067S4?Item=9SIA7ABA2S2477,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_2019091327061973.jpg
7,1TS-000D-04SP6,Computer Systems,Laptops / Notebooks,2,HP,"HP OMEN 15t Gaming and Entertainment Laptop (Intel i7-9750H 6-Core, 16GB RAM, 128GB  SATA SSD + 1TB  HDD , 15.6"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Webcam, Win 10 Home)",,1549.00,0.0,https://www.newegg.com/p/1TS-000D-04SP6?Item=9SIA7AB9EM5726,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201906211419103389.jpg
8,1TS-000D-07J20,Computer Systems,Laptops / Notebooks,2,HP,"HP Pavilion 15.6"" Touchscreen Laptop - 10th Gen Intel Core i7-1065G7 - 4GB GeForce MX250 - 1080p - Windows 10 Professional Notebook Touch Screen 16GB Memory 1TB + 256GB SSD 15-cs3075cl",,1099.95,0.0,https://www.newegg.com/silver-hp-pavilion-15-cs3075cl/p/1TS-000D-07J20?Item=9SIAADFB907988,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8X5S1912131KBdt.jpg
9,1TS-000D-05T88,Computer Systems,Laptops / Notebooks,2,HP,"HP 15-dw0035cl Home Office Laptop Silver (Intel i7-8565U 4-Core, 16GB RAM, 256GB PCIe SSD, 15.6"" Touch  HD (1366x768), Intel UHD 620, Wifi, Bluetooth, Webcam, 2xUSB 3.1, 1xHDMI, SD Card, Win 10 Home)",,1018.80,0.0,https://www.newegg.com/p/1TS-000D-05T88?Item=9SIA7AB9Z79456,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201909021189467840.jpg
