,brand,model_listing,price,shipping
0,DELL,"Refurbished: DELL Laptop Latitude E6520 Intel Core i7 2nd Gen 2720QM (2.20 GHz) 6 GB Memory 240 GB SSD Intel HD Graphics 3000 15.6"" Windows 10 Home 64-Bit",$405.99,Free Shipping
1,DELL,"Refurbished: DELL Laptop Latitude E5420 Intel Core i5 2nd Gen 2410M (2.30 GHz) 6 GB Memory 500 GB HDD 14.0"" Windows 10 Pro 64-Bit",$304.99,$3.99 Shipping
2,DELL,"Refurbished: DELL Laptop Latitude E6320 Intel Core i5 2nd Gen 2410M (2.30 GHz) 12 GB Memory 128 GB SSD 13.3"" Windows 10 Pro 64-Bit",$297.99,$2.99 Shipping
3,Microsoft,"Refurbished: Microsoft Laptop Surface Laptop 2 LUL-00005 Intel Core i7 8th Gen 8650U (1.90 GHz) 16 GB Memory 512 GB SSD Intel UHD Graphics 620 13.5"" Touchscreen Windows 10 Home 64-bit","$1,349.99",$2.99 Shipping
4,Lenovo,Refurbished: Lenovo Grade B Laptop T560 Intel Core i5 6300U (2.40 GHz) 8 GB Memory 240 GB SSD 15.6 Windows 10,$416.99,$2.99 Shipping
5,Lenovo,"Refurbished: Lenovo Grade A Laptop T460S Intel Core i5 6th Gen 6200U (2.30 GHz) 12 GB Memory 480 GB SSD 14.0"" Windows 10 Pro 64-bit",$521.99,$2.99 Shipping
6,DELL,"Refurbished: DELL Laptop E5410 Intel Core i3 1st Gen 370M (2.40 GHz) 4 GB Memory 128 GB SSD 14.1"" Windows 10 Pro 64-Bit",$196.99,$3.99 Shipping
7,HP,"Refurbished: HP Laptop 6460B Intel Core i5 2nd Gen 2520M (2.50 GHz) 4 GB Memory 256 GB SSD Intel HD Graphics 3000 14.0"" Windows 10 Pro 64-Bit",$282.99,$2.99 Shipping
8,Lenovo,"Refurbished: Lenovo Grade B Laptop Yoga 12 Intel Core i7 5500U (2.40 GHz) 8 GB Memory 256 GB SSD 12.5"" Windows 10",$396.99,$2.99 Shipping
9,HP,"Refurbished: HP Laptop 850 G2 Intel Core i5 5300U (2.30 GHz) 8 GB Memory 1000 SSD 15.6"" Windows 10",$559.99,$2.99 Shipping
10,DELL,"Refurbished: DELL Laptop E6500 Intel Core 2 Duo 2.40 GHz 4 GB Memory 750 GB HDD 15.4"" Windows 10 Home 64-Bit",$215.99,Free Shipping
11,Lenovo,"Refurbished: Lenovo B Grade Laptop T460S Intel Core i7 6th Gen 6600U (2.60 GHz) 16 GB Memory 256 GB SSD 14.0"" Touchscreen Windows 10 Pro 64-bit",$512.99,$2.99 Shipping
12,DELL,"Refurbished: DELL Laptop E5410 Intel Core i3 2.40 GHz 4 GB Memory 750 GB HDD 14.1"" Windows 10 Pro 64-Bit",$195.99,$2.99 Shipping
13,DELL,"Refurbished: DELL Laptop Latitude E6220 Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 256 GB SSD 12.5"" Windows 10 Pro 64-Bit",$303.99,Free Shipping
14,DELL,"Refurbished: DELL B Grade Laptop e6220 Intel Core i5 2.50 GHz 4 GB Memory 256 GB SSD 12.5"" Windows 10 Pro 64-Bit",$275.99,$3.99 Shipping
15,HP,"Refurbished: HP Laptop EliteBook Folio 9470M Intel Core i5 3rd Gen 3437U (1.90 GHz) 16 GB Memory 240 GB SSD Intel HD Graphics 4000 14.0"" Windows 10 Pro 64-Bit",$385.99,$2.99 Shipping
16,HP,"Refurbished: HP Laptop 6460B Intel Core i5 2nd Gen 2520M (2.50 GHz) 4 GB Memory 750 GB HDD Intel HD Graphics 3000 14.0"" Windows 10 Pro 64-Bit",$249.99,$2.99 Shipping
17,DELL,"Refurbished: DELL Laptop Latitude E6230 Intel Core i5 3rd Gen 3320M (2.60 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 4000 12.5"" Windows 10 Pro 64-Bit",$480.99,$2.99 Shipping
18,DELL,"Refurbished: DELL Laptop Latitude E6520 Intel Core i7 2nd Gen 2720QM (2.20 GHz) 8 GB Memory 240 GB SSD Intel HD Graphics 3000 15.6"" Windows 10 Pro 64-Bit",$427.99,Free Shipping
19,DELL,"Refurbished: DELL Laptop E5410 Intel Core i5 1st Gen 520M (2.40 GHz) 6 GB Memory 500 GB HDD 14.1"" Windows 10 Home 64-Bit",$225.99,$7.56 Shipping
20,DELL,"Refurbished: DELL Laptop Latitude E6520 Intel Core i7 2nd Gen 2720QM (2.20 GHz) 8 GB Memory 750 GB HDD Intel HD Graphics 3000 15.6"" Windows 10 Pro 64-Bit",$394.99,$2.99 Shipping
21,DELL,"Refurbished: DELL Laptop Latitude E6220 Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 256 GB SSD 12.5"" Windows 10 Pro 64-Bit",$346.99,Free Shipping
22,DELL,"Refurbished: DELL Laptop E6220 Intel Core i5 2.50 GHz 4 GB Memory 256 GB SSD 12.5"" Windows 10 Pro 64-Bit",$276.99,$3.99 Shipping
23,DELL,"Refurbished: DELL B Grade Laptop e6220 Intel Core i5 2nd Gen 2520M (2.50 GHz) 4 GB Memory 256 GB SSD 12.5"" Windows 10 Pro 64-Bit",$275.99,$3.99 Shipping
24,DELL,"Refurbished: DELL Laptop D830 Intel Core 2 Duo 2.00 GHz 2 GB Memory 320 GB HDD 15.4"" Windows 10 Home 64-Bit",$147.99,$7.56 Shipping
25,DELL,"Refurbished: DELL Laptop Latitude E6220 Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 120 GB SSD Intel HD Graphics 3000 12.5"" Windows 10 Pro 64-Bit",$262.99,$2.99 Shipping
26,Lenovo,"Refurbished: Lenovo Laptop X201 Intel Core i5 1st Gen 520M (2.40 GHz) 6 GB Memory 128 GB SSD 12.1"" Windows 10 Home 64-Bit",$191.99,Free Shipping
27,DELL,"Refurbished: DELL B Grade Laptop E5250 Intel Core i5 5th Gen 5300U (2.30 GHz) 8 GB Memory 128 GB SSD 12.5"" Windows 10 Home 64-bit",$209.99,$2.99 Shipping
28,DELL,"Refurbished: DELL Laptop E5430 Intel Core i5 3320M (2.60 GHz) 12 GB Memory 750 GB HDD 14.0"" Windows 10 Pro 64-Bit",$343.99,$3.99 Shipping
29,DELL,"Refurbished: DELL Laptop Latitude E6520 Intel Core i5 2nd Gen 2410M (2.30 GHz) 4 GB Memory 256 GB SSD Intel HD Graphics 3000 15.6"" Windows 10 Pro 64-Bit",$337.99,Free Shipping
30,Microsoft,"Refurbished: Microsoft Laptop Surface Laptop 2 LUK-00003 Intel Core i7 8th Gen 8650U (1.90 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 13.5"" Touchscreen Windows 10 Home 64-bit",$971.99,$2.99 Shipping
31,DELL,"Refurbished: DELL Laptop E6500 Intel Core 2 Duo 2.53 GHz 4 GB Memory 160 GB HDD 15.4"" Windows 10 Pro 64-Bit",$193.99,Free Shipping
32,DELL,"Refurbished: DELL B Grade Laptop 5490 Intel Core i5 7th Gen 7300U (2.60 GHz) 16 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-bit",$490.99,$2.99 Shipping
33,HP,"Refurbished: HP B Grade Laptop 6460b Intel Core i5 2nd Gen 2520M (2.50 GHz) 4 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$285.99,$2.99 Shipping
34,DELL,"Refurbished: DELL Laptop Latitude E6220 Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 750 GB HDD 12.5"" Windows 10 Pro 64-Bit",$325.99,Free Shipping
35,DELL,"Refurbished: DELL Laptop E6500 Intel Core 2 Duo 2.40 GHz 4 GB Memory 320 GB HDD 15.4"" Windows 10 Home 64-Bit",$193.99,Free Shipping
