,product_category,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,Laptops / Notebooks,Lenovo,"2017 Lenovo ThinkPad X1 Carbon (5th Gen) - Windows 7 Pro - Intel Core i7-7600U, 256GB NVMe-PCIe SSD, 16GB RAM, 14"" WQHD IPS (2560x1440) Display, Fingerprint Reader, (Classic Black)",,1759.99,0.0,https://www.newegg.com/p/1TS-000E-06W01?Item=9SIA8TK6DE9858,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20170915238001060.jpg
1,Laptops / Notebooks,Lenovo,"2017 Lenovo ThinkPad X1 Carbon (5th Gen) - Windows 7 Pro - Intel Core i7-7600U, 256GB SSD, 16GB RAM, 14"" WQHD IPS (2560x1440) Display, Fingerprint Reader, (Classic Black)",,1759.99,0.0,https://www.newegg.com/p/1TS-000E-06VT4?Item=9SIA8TK6D86666,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20170915238001060.jpg
2,Laptops / Notebooks,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop - Intel Core i7-8650U, 16GB RAM, 256GB PCIe NVMe SSD, 14"" IPS WQHD (2560x1440) Matte Display, Fingerprint Reader, 4G LTE WWAN, Black",,2419.99,0.0,https://www.newegg.com/p/1TS-000E-09AX3?Item=9SIA8TK7ZM6618,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20180727843708741.jpg
3,Laptops / Notebooks,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop - Intel Core i7-8550U, 16GB RAM, 256GB SSD, 14"" IPS FHD Touch 1920x1080 Display, Fingerprint Reader, Smart Card Reader, 4G LTE WWAN,  Black",,1759.99,0.0,https://www.newegg.com/p/1TS-000E-09ZP7?Item=9SIA8TK8A11269,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20180727843708741.jpg
4,Laptops / Notebooks,DELL,"Dell Inspiron 3480 14"" i3-8145U Dual Core upto 3.9GHz, 16GB DDR4, 256GB M.2 SSD, Intel HD Graphics 620, HDMI, Card Reader, Wi-Fi, Bluetooth, USB 3.1, Windows 10 Pro (Black) HD Notebook Laptop",,539.99,0.0,https://www.newegg.com/black-dell-inspiron-3480/p/1TS-000A-069U1?Item=9SIA65EA7J4931,//c1.neweggimages.com/ProductImageCompressAll300/A65E_1_201909241973466248.jpg
5,Laptops / Notebooks,Lenovo,"Lenovo ThinkPad X1 Carbon (7th Gen) - Windows 10 Pro - Intel Quad Core i7-8665U, 256GB NVMe-PCIe SSD, 16GB RAM, 14"" WQHD IPS (2560x1440) Non-Touch Display, Fingerprint Reader, Black",,2199.99,0.0,https://www.newegg.com/p/1TS-000E-0FX62?Item=9SIA8TKAU96638,//c1.neweggimages.com/ProductImageCompressAll300/A8TK_1_20191229840344846.jpg
6,Laptops / Notebooks,Lenovo,"2017 Lenovo ThinkPad X1 Carbon 4G LTE (5th Gen) - Windows 7 Pro - Intel Core i7-7500U, 256GB NVMe-PCIe SSD, 16GB RAM, 14"" WQHD IPS (2560x1440) Display, Fingerprint Reader, (Classic Black)",,1869.99,0.0,https://www.newegg.com/p/1TS-000E-07F72?Item=9SIA8TK6M31377,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20170915238001060.jpg
7,Laptops / Notebooks,HP,"HP 14"" Thin and Light Customized Laptop Intel Core i3-7100U processor 16GB RAM 256GB SSD Upgradable to 16GB RAM 1024GB SSD Windows 10 Ash Silver Only 3.2lb 0.8"" thin USB Type-C",,486.73,0.0,https://www.newegg.com/p/1TS-000D-05449?Item=9SIAJZD9SS2163,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_201907231969072027.jpg
8,Laptops / Notebooks,HP,"HP 14"" Full HD IPS Premium Customized Laptop Intel Core i3-8130U processor 16GB RAM 256GB SSD Backlit Keyboard Upgradable to 16GB RAM 1024GB SSD Windows 10 Silver Only 3.0lb",,549.94,0.0,https://www.newegg.com/p/1TS-000D-04DC5?Item=9SIAJZD9BG3207,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_2019061069488849.jpg
9,Laptops / Notebooks,HP,"HP Bilingual Laptop EliteBook 1040 G4 (2XM86UT#ABL) Intel Core i5 7th Gen 7300U (2.60 GHz) 16 GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Touchscreen Windows 10 Pro 64-Bit",,1395.99,11.99,https://www.newegg.com/hp-elitebook-1040-g4-mainstream/p/N82E16834270291?Item=9SIAD6H8242591,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/ADZG_1_201812031941591455.jpg
10,Laptops / Notebooks,DELL,"Dell Inspiron 3493 14"" Customized Laptop | 10th Gen Intel Core i3-1005G1 up to 3.4 GHz | 16GB RAM 256GB SSD 1TB HDD | HDMI | Wi-Fi | Bluetooth | Black Only 3.4lb | Windows 10",,600.54,0.0,https://www.newegg.com/p/1TS-000A-08GM3?Item=9SIAJZDAX08241,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_202001151156184635.jpg
11,Laptops / Notebooks,HP,"HP EliteBook 745 G5 14"" Notebook - 1920 x 1080 - Ryzen 5 PRO 2500U - 16 GB RAM - 256 GB SSD",,629.99,0.0,https://www.newegg.com/p/1TS-000D-04BG2?Item=9SIA9SEB7B8801,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/cs.jpg
12,Laptops / Notebooks,HP,"HP 14 Notebook, 14"" FHD Display, Intel Core i3-8130U Upto 3.40GHz, 16GB RAM, 256GB SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro S","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",549.99,0.0,https://www.newegg.com/silver-hp-14/p/1TS-000D-084F0?Item=9SIAA0SAX33394,//c1.neweggimages.com/ProductImageCompressAll300/V0N6_1_202001131869457074.jpg
13,Laptops / Notebooks,Lenovo,"Lenovo ThinkPad  L480 Notebook, 14"" HD Display, Intel Core i5-8250U Upto 3.40 GHz, 16GB RAM, 256GB SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",1179.99,0.0,https://www.newegg.com/black-lenovo-thinkpad-l480/p/1TS-000E-0GZY5?Item=9SIAA0SAWE7049,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_202001141973335644.jpg
