,brand,model_listing,price,shipping
0,Microsoft,"Microsoft Laptop Surface Laptop 2 LQQ-00038 Intel Core i7 8th Gen 8650U (1.90 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 13.5"" Touchscreen Windows 10 Home 64-Bit - Cobalt Blue","$1,599.00",$2.99 Shipping
1,Lenovo,"Lenovo Legion Y540-15IRH 81SX000FUS 15.6"" Gaming Notebook - 1920 x 1080 - Core i7 i7-9750H - 16 GB RAM - 1 TB SSD","$1,466.99",$2.99 Shipping
2,Lenovo,"Lenovo ThinkPad P53 Mobile Workstation 20QN001QUS - Intel Six Core i7-9750H, 16GB RAM, 512GB PCIe NVMe SSD, 15.6"" HDR 400 FHD IPS 500nits Display, NVIDIA Quadro T2000 4GB Graphics, Windows 10 Pro","$2,299.99",$2.99 Shipping
3,HP,"HP EliteBook 850 G6 13.3"" Notebook - 1920 x 1080 - Core i7 i7-8665U - 16 GB RAM - 512 GB SSD - Windows 10 Pro 64-bit - Intel UHD Graphics 620 - In-plane Switching (IPS) Technology, Sure View - En","$1,979.99",$2.99 Shipping
4,Lenovo,"Lenovo ThinkPad E14"" Full HD Laptop i5-10210U 8GB 256GB SSD Windows 10 Pro",$999.99,$2.99 Shipping
5,Acer America,"Acer TravelMate X5 X514-51T TMX514-51T-72KH 14"" Touchscreen Notebook - 1920 x 1080 - Core i7 i7-8565U - 16 GB RAM - 512 GB SSD","$1,374.99",$2.99 Shipping
6,Lenovo,"Lenovo ThinkPad T495s 20QJ001KUS 14"" Notebook - 1920 x 1080 - Ryzen 7 3700U - 16 GB RAM - 512 GB SSD - Black - Windows 10 Pro 64-bit - AMD Radeon RX Vega 10 Graphics - In-plane Switching (IPS) Te","$1,760.99",$2.99 Shipping
7,Lenovo,"Lenovo ThinkPad P1 Gen 2 15.6"" FHD Laptop i7-9750H 16GB 256GB SSD W10P","$2,278.99",$2.99 Shipping
8,Lenovo,Lenovo ThinkPad X395 20NL0009US 13.3 Touchscreen Laptop Ryzen 5P3500U 256GB SSD,"$1,299.99",$2.99 Shipping
9,DELL,"Dell Precision 7000 7740 17.3"" Mobile Workstation - 1920 x 1080 - Core i7 i7-9850H - 16 GB RAM - 512 GB SSD","$2,553.99",$8.69 Shipping
10,HP,"HP Laptop 15-db0047nr AMD A9-Series A9-9425 (3.10 GHz) 4 GB Memory 1 TB HDD AMD Radeon R5 Series 15.6"" Windows 10 Home",$499.99,$2.99 Shipping
11,HP,"HP 7KK20UT EliteBook 850 G6 15.6"" FHD Laptop i7-8665U 16GB 512GB SSD W10P","$2,199.99",$2.99 Shipping
12,HP,"HP Stream 14-inch Laptop, AMD Dual-Core A4-9120E, 4GB RAM, 64GB eMMC Storage, Windows 10 S (14-ds0090nr, Blue)",$309.99,$2.99 Shipping
13,Lenovo,"Lenovo IdeaPad S340-15API 81NC009FUS 15.6"" Notebook - 1366 x 768 - Ryzen 7 3700U - 8 GB RAM - 256 GB SSD - Abyss Blue",$717.99,$8.92 Shipping
14,Lenovo,"Lenovo ThinkPad T490s 20NX002HUS 14"" Touchscreen LCD Notebook - Intel Core i7 (8th Gen) i7-8565U 1.80 GHz - 16 GB - 512 GB SSD - Windows 10 Pro 64-bit - 1920 x 1080 - In-plane Switching (IPS) Techn...","$2,049.99",$2.99 Shipping
15,Acer America,"Acer Aspire 3 A315-32-C3KK 15.6"" LCD Notebook - Intel Celeron N4100 Quad-core (4 Core) 1.10 GHz - 4 GB DDR4 SDRAM - 1 TB HDD - Windows 10 Home 64-bit - 1920 x 1080 - ComfyView - Oxidant Red",$349.99,$2.99 Shipping
16,Acer America,"Acer TravelMate P6 P614-51TG TMP614-51TG-792V 14"" Touchscreen Notebook - 1920 x 1080 - Core i7 i7-8565U - 16 GB RAM - 512 GB SSD - Black","$1,398.99",$2.99 Shipping
17,Acer America,"Acer TravelMate P6 P614-51 TMP614-51-7294 14"" Notebook - 1920 x 1080 - Core i7 i7-8565U - 16 GB RAM - 512 GB SSD - Black","$1,409.99",Free Shipping
18,Toshiba,Toshiba PT274U-021008 Portege X30-D1352 - Core I5 7300U / 2.6 Ghz - Win 10 Pro - 8 Gb Ram - 256 Gb Ssd - 13.3 Inch Touchscreen 1920 X 1080 (Full Hd) - Hd Graphics 620 - Wi-Fi - Onyx Blue,"$1,497.99",Free Shipping
19,HP,"HP Stream 14-inch Laptop, AMD Dual-Core A4-9120E, 4GB RAM, 64GB eMMC Storage, Windows 10 S(14-ds0160nr, Pink)",$309.99,$2.99 Shipping
