,product_category,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,Laptops / Notebooks,DELL,"2019 Dell Inspiron 5000 2-in-1 14.0"" HD Touchscreen Customized Laptop | 8th Gen Intel Core i3-8145U | 16GB RAM 256GB SSD 2TB HDD | Dual Disk Option | Windows 10 Gray Only 3.8lb",,590.14,0.0,https://www.newegg.com/p/1TS-000A-06R90?Item=9SIAJZDAFZ1580,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_201910302002666995.jpg
1,Laptops / Notebooks,HP,"HP 14"" HD Notebook, 8th Generation Intel Core i5-8265U Quad Core Processor,16GB DDR4 RAM,256GB SSD,Intel UHD Graphics 620,Wifi-AC,Bluetooth 4.2,USB,HDMI,Windows 10 Pro 64 Bit",,645.00,0.0,https://www.newegg.com/silver-hp14cl-mainstream/p/1TS-000D-037S0?Item=9SIAE4N8K53238,//c1.neweggimages.com/ProductImageCompressAll300/AE4N_1_20181223636130996.jpg
2,Laptops / Notebooks,HP,"HP 14"" Full HD IPS Premium Customized Laptop | 10th Gen Intel Core i3-1005G1 up to 3.4 GHz | 16GB RAM 256GB SSD | USB Type-C | Wi-Fi 5 (2x2) | Bluetooth 5.0 | Windows 10 Home | Silver Only 3.2lb",,533.06,0.0,https://www.newegg.com/p/1TS-000D-07819?Item=9SIAJZDAMB2629,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191121766213943.jpg
3,Laptops / Notebooks,HP,"HP 14"" Thin and Light Customized Laptop Intel Core i3-7100U processor 16GB RAM 256GB SSD Upgradable to 16GB RAM 512GB SSD Windows 10 Silver Only 3.1lb",,474.72,0.0,https://www.newegg.com/p/1TS-000D-04A91?Item=9SIAJZD9AF7750,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20190531660874923.jpg
4,Laptops / Notebooks,Lenovo,"Lenovo ThinkBook 14s IWL Home and Business Laptop (Intel i5-8265U 4-Core, 16GB RAM, 256GB PCIe SSD, 14.0"" Full HD (1920x1080), AMD Radeon 540X, Fingerprint, Wifi, Bluetooth, Webcam, Win 10 Pro)",,699.00,0.0,https://www.newegg.com/p/1TS-000E-0J6M9?Item=9SIA7ABB9V9451,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20200408454636435.jpg
5,Laptops / Notebooks,HP,"2020 HP Elitebook 840 G5 14"" IPS Full HD FHD (1920x1080) Business Laptop (Intel Core i5-8250U, 16GB DDR4 RAM, 256GB PCIe NVMe M.2 SSD) Backlit, Type-C Thunderbolt, B&O Audio, HDMI, Windows 10 Pro",,1249.99,0.0,https://www.newegg.com/silver-hp-elitebook-840-g5-mainstream/p/1TS-000D-09EU6?Item=9SIADG3B981087,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/ADG3S200326DljIc.jpg
6,Laptops / Notebooks,Lenovo,"Newest Lenovo ThinkBook 14s 14"" FHD IPS Laptop PC, Intel Quad-Core i7-8565U upto 4.6GHz, 16GB RAM, 256GB SSD, Backlit Keyboard, Fingerprint Reader, AMD Radeon 540X, USB-C, WIFI, HDMI, Windows 10 Pro",,892.99,0.0,https://www.newegg.com/gray-lenovo-thinkbook-14s-mainstream/p/1TS-000E-0HP91?Item=9SIAKYFB357822,//c1.neweggimages.com/ProductImageCompressAll300/AK1E_1_20200215292969120.jpg
7,Laptops / Notebooks,HP,"HP 14-dq1037wm Home and Business Laptop (Intel i3-1005G1 2-Core, 16GB RAM, 256GB m.2 SATA SSD, 14"" HD (1366x768), Intel UHD Graphics, Wifi, Bluetooth, Webcam, 2xUSB 3.1, 1xHDMI, Win 10 Pro in S-Mode)",Free Expedited Shipping,1018.80,0.0,https://www.newegg.com/p/1TS-000D-08526?Item=9SIA7ABB093346,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_20200322345450374.jpg
8,Laptops / Notebooks,Lenovo,"Lenovo ThinkPad T470 2020 Flagship Laptop, 14"" FHD IPS Touchscreen, Intel Core i7-6500U 2.5GHz, 16GB DDR4 256GB SSD, Thunderbolt Fingerprint Backlit KB WiFi HDMI Win 10 Pro",,943.00,0.0,https://www.newegg.com/black-lenovo-thinkpad-t470-everyday-value/p/1TS-000E-0J0Y0?Item=9SIAMRPB774469,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AMRPS200318r1qxF.jpg
9,Laptops / Notebooks,HP,"HP 14"" Customized Laptop | 10th Gen Intel Core i3-1005G1 up to 3.4 GHz | 16GB RAM 256GB SSD | USB Type-C | Wi-Fi | Bluetooth | Silver Only 3.2lb | Windows 10",,506.07,0.0,https://www.newegg.com/p/1TS-000D-084V1?Item=9SIAJZDAWE8342,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191121766213943.jpg
