,brand,model_listing,price,shipping
0,HP,"Refurbished: HP Grade A Elitebook Folio 9480M 14.0"" Laptop Intel Core i5 4th Gen 4310U (2.00 GHz) 8 GB DDR3L 480 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$399.99,$2.99 Shipping
1,HP,"Refurbished: HP Grade A Elitebook Folio 9480M 14.0"" Laptop Intel Core i5 4th Gen 4310U (2.00 GHz) 16 GB DDR3L 1 TB WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$449.99,$2.99 Shipping
2,HP,"Refurbished: HP Grade A EliteBook 840G1 14.0"" Laptop Intel Core i7 4th Gen 4600U (2.10 GHz) 8 GB DDR3L 240 GB SSD Windows 10 Home 64-bit (Multi-language) 1 Year Warranty",$435.99,$2.99 Shipping
3,HP,"Refurbished: HP Grade A Probook 640G1 14.0"" Laptop Intel Core i5 4th Gen 4200M (2.50 GHz) 8 GB DDR3L 1 TB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$469.99,$2.99 Shipping
4,Lenovo,"Refurbished: Lenovo Grade A ThinkPad X240 12.5"" Laptop Intel Core i7 4th Gen 4600U (2.10 GHz) 8 GB DDR3L 480 GB SSD Windows 10 Home 64-bit (Multi-language) 1 Year Warranty",$467.99,$2.99 Shipping
5,DELL,"Refurbished: DELL B Grade Laptop E7470 Intel Core i7 6th Gen 6600U (2.60 GHz) 8 GB Memory 256 GB SSD 14.0"" Windows 10 Pro",$368.99,$2.99 Shipping
6,HP,"Refurbished: HP Laptop ZBook 14 G2 Core i7 5600U (2.60 GHz) 16 GB Memory 1000 SSD 14.0"" Windows 10",$600.99,$2.99 Shipping
7,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 4G DDR3L, 512G SSD, WIFI, DVD, 14INCH , Win 10 Pro 64-bit Multi-Language, 1 Year Warranty",$398.99,$2.99 Shipping
8,DELL,"Refurbished: DELL Laptop E5570 Core i7 6600U (2.60 GHz) 16 GB Memory 480 SSD 15.6"" Windows 10",$666.99,$3.99 Shipping
9,DELL,"Refurbished: Refurbished Dell Grade A Precision M4700 15.6"" Laptop, Intel Core I7-3720QM 2.6 GHz, 16GB Memory, 480G SSD, DVD, 1G DG, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$601.99,$2.99 Shipping
10,DELL,"Refurbished: Dell Grade A Latitude 3340 13.3"" Laptop Intel Core i5 4th Gen 4210U (1.70 GHz) 8 GB DDR3L 120 GB SSD Windows 10 Home 64-bit (Multi-language) 1 Year Warranty",$355.99,$2.99 Shipping
11,HP,"Refurbished: Refurbished HP Grade A Elitebook 745G2 14"" Laptop, AMD A8 Pro-7150B 1.9 GHz, 8GB Memory, 512G SSD, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$378.99,$2.99 Shipping
12,Apple,"Refurbished: Apple MacBook MLH72LL/A Intel Core M3-6Y30 X2 1.1GHz 8GB 512GB SSD 12"", Silver (Scratch and Dent)",$739.99,$2.99 Shipping
13,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 1T, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$384.99,$2.99 Shipping
14,HP,"Refurbished: Refurbished HP Grade A Elitebook Folio 9480M 14"" Laptop, Intel Core I7-4600U 2.1 GHz, 8GB Memory, 512G SSD, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$473.99,$2.99 Shipping
15,DELL,"Refurbished: DELL Laptop E7440 Intel Core i7 4th Gen 4600U (2.10 GHz) 16 GB Memory 750 GB HDD 14.0"" Windows 10 Pro 64-Bit",$436.99,$2.99 Shipping
16,HP,"Refurbished: HP Laptop 850 G1 Core i7 4600U (2.10 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$481.99,$2.99 Shipping
17,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 120G SSD, WIFI, DVD, 14INCH , Win 10 Pro 64-bit Multi-Language, 1 Year Warranty",$384.99,$2.99 Shipping
18,DELL,"Refurbished: DELL Laptop E7440 Core i7 4600U (2.10 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$514.99,$2.99 Shipping
19,HP,"Refurbished: Refurbished HP Grade A Zbook 15 G2, Intel Core I7-4810MQ 2.8 GHz, 8GB Memory, 1T, DVDRW, 1G GDDR5 DG, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$559.99,$2.99 Shipping
20,HP,"Refurbished: HP Grade A EliteBook 840G1 14.0"" Laptop Intel Core i7 4th Gen 4600U (2.10 GHz) 8 GB DDR3L 480 GB SSD Windows 10 Home 64-bit (Multi-language) 1 Year Warranty",$460.99,$2.99 Shipping
21,DELL,"Refurbished: DELL Laptop E6540 Core i7 4600M (2.90 GHz) 8 GB Memory 256 SSD 14.0"" Windows 10",$390.99,$2.99 Shipping
22,Lenovo,"Refurbished: Lenovo Grade A ThinkPad T450 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 256 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$482.99,$2.99 Shipping
23,DELL,"Refurbished: Refurbished: Dell Grade A Latitude E7450, Intel Core I7-5600U 2.6GHz, 8G DDR3L, 1T SSD,  14"" Screen, Win 10 Home 64-bit, 1 Year Warranty",$572.99,$2.99 Shipping
24,HP,"Refurbished: Refurbished: HP Grade A EliteBook 8460P, Intel Core I5-2520M 2.5GHz, 8G DDR3, 1T, DVD, 14"" Screen, Win 10 Home 64-bit, 1 Year Warranty",$317.99,$2.99 Shipping
25,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 500G, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$351.99,$2.99 Shipping
26,HP,"Refurbished: Refurbished HP Grade A Elitebook 745G2 14"" Laptop, AMD A8 Pro-7150B 1.9 GHz, 8GB Memory, 480G SSD, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$374.99,$2.99 Shipping
27,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 4G DDR3L, 1T, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$362.99,$2.99 Shipping
28,HP,"Refurbished: HP Laptop EliteBook 840 G1 Intel Core i5 4th Gen 4300U (1.90 GHz) 16 GB Memory 240 GB SSD Intel® HD Graphics 4400 14.0"" Windows 10 Home 64-Bit",$389.99,$2.99 Shipping
29,HP,"Refurbished: HP Grade A Probook 640G2 14.0"" Laptop Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB DDR4 1 TB SSD DVD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$528.99,$2.99 Shipping
30,HP,"Refurbished: Refurbished HP Grade A Elitebook Folio 9480M 14"" Laptop, Intel Core I7-4600U 2.1 GHz, 8GB Memory, 1T SSD, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$547.99,$2.99 Shipping
31,HP,"Refurbished: HP Grade A Elitebook Folio 9480M 14.0"" Laptop Intel Core i5 4th Gen 4310U (2.00 GHz) 16 GB DDR3L 256 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$454.99,$2.99 Shipping
32,Lenovo,"Refurbished: Lenovo Grade A ThinkPad T460 14.0"" Laptop Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB DDR3L 480 GB SSD WIFI Bluetooth Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$474.99,$2.99 Shipping
33,DELL,"Refurbished: DELL Laptop E7250 Intel Core i5 5300U (2.30 GHz) 16 GB Memory 1000 SSD 12.5"" Windows 10",$490.99,$2.99 Shipping
