,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-000E-07EZ2,Computer Systems,Laptops / Notebooks,5,Lenovo,"2017 Lenovo ThinkPad X1 Carbon 4G LTE (5th Gen) - Windows 10 Pro - Intel Core i7-7600U, 128GB SSD, 16GB RAM, 14"" WQHD IPS (2560x1440) Display, Fingerprint Reader, (Classic Black)",,1924.99,0.0,https://www.newegg.com/p/1TS-000E-07EZ2?Item=9SIA8TK6M31085,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20170915238001060.jpg
1,1TS-000E-0FSP4,Computer Systems,Laptops / Notebooks,5,Lenovo,"Lenovo ThinkPad Touch T570 Windows 7 Pro - i7-7600U, 16GB RAM, 128GB SSD, 15.6"" IPS FHD (1920x1080) Matte Touchscreen, Fingerprint Reader, Black Color",,1814.99,0.0,https://www.newegg.com/p/1TS-000E-0FSP4?Item=9SIA8TKASX0733,//c1.neweggimages.com/ProductImageCompressAll300/A8TK_1_201801051728744162.jpg
2,1TS-000E-0A1P5,Computer Systems,Laptops / Notebooks,5,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop -  i7-8650U, 16GB RAM, 128GB SSD, 14"" IPS FHD (1920x1080) Touch Display w/ NVIDIA MX150 Graphics, Smart Card Reader, Black",,1649.99,0.0,https://www.newegg.com/p/1TS-000E-0A1P5?Item=9SIA8TK8A11910,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20180727843708741.jpg
3,1TS-000E-07Y15,Computer Systems,Laptops / Notebooks,5,Lenovo,"Lenovo ThinkPad T470s Windows 10 Pro LTE 4G Laptop - Intel Core i7-7500U, 16GB RAM, 256GB SSD, 14"" IPS WQHD (2560x1440) Matte Display, Fingerprint Reader, Smart Card Reader, Black Color",,1814.99,0.0,https://www.newegg.com/p/1TS-000E-07Y15?Item=9SIA8TK6X36172,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_201709071196388703.jpg
4,1TS-000E-09AD1,Computer Systems,Laptops / Notebooks,5,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop - Intel Core i7-8650U, 16GB RAM, 180GB SSD, 14"" IPS FHD (1920x1080) Matte Display, Fingerprint Reader,  Black Color",,1759.99,0.0,https://www.newegg.com/p/1TS-000E-09AD1?Item=9SIA8TK7ZM6456,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/V0E4_1_20190130807883272.jpg
5,1TS-000E-07TK9,Computer Systems,Laptops / Notebooks,5,Lenovo,"Lenovo ThinkPad T470s Windows 10 Pro Laptop - Intel Core i7-7500U, 16GB RAM, 128GB SSD, 14"" IPS WQHD (2560x1440) Matte Display, Fingerprint Reader, Smart Card Reader, Black Color",,1649.99,0.0,https://www.newegg.com/p/1TS-000E-07TK9?Item=9SIA8TK6UR1029,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_201709071196388703.jpg
6,1TS-000E-0A1B3,Computer Systems,Laptops / Notebooks,5,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop - i7-8550U, 16GB RAM, 128GB SSD, 14"" IPS WQHD (2560x1440) Matte Display, Fingerprint Reader, Smart Card Reader, 4G LTE WWAN,  Black",,1869.99,0.0,https://www.newegg.com/p/1TS-000E-0A1B3?Item=9SIA8TK8A11795,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20180727843708741.jpg
7,1TS-000E-07F76,Computer Systems,Laptops / Notebooks,5,Lenovo,"2017 Lenovo ThinkPad X1 Carbon 4G LTE (5th Gen) - Windows 7 Pro - Intel Core i7-7500U, 128GB SSD, 16GB RAM, 14"" WQHD IPS (2560x1440) Display, Fingerprint Reader, (Classic Black)",,1814.99,0.0,https://www.newegg.com/p/1TS-000E-07F76?Item=9SIA8TK6M31381,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20170915238001060.jpg
8,1TS-000E-07FV5,Computer Systems,Laptops / Notebooks,5,Lenovo,"2017 Lenovo ThinkPad X1 Carbon 4G LTE (5th Gen) - Windows 7 Pro - Intel Core i7-7600U, 256GB NVMe-PCIe SSD, 16GB RAM, 14"" WQHD IPS (2560x1440) Display, Fingerprint Reader, (Classic Black)",,1979.99,0.0,https://www.newegg.com/p/1TS-000E-07FV5?Item=9SIA8TK6M31590,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20170915238001060.jpg
9,1TS-000E-0FWR9,Computer Systems,Laptops / Notebooks,5,Lenovo,"Lenovo ThinkPad T570 Windows 10 Pro - i7-6600U, 16GB RAM, 256GB SSD, 15.6"" IPS FHD (1920x1080) Matte Display, Fingerprint Reader, Black Color",,1704.99,0.0,https://www.newegg.com/p/1TS-000E-0FWR9?Item=9SIA8TKATW8725,//c1.neweggimages.com/ProductImageCompressAll300/A8TK_1_201801051728744162.jpg
