,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-000D-089F5,Computer Systems,Laptops / Notebooks,10,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 16GB RAM, 512GB NVMe SSD + 1TB HDD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1129.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089F5,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_202002041815790347.jpg
1,1TS-000D-089E0,Computer Systems,Laptops / Notebooks,10,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 16GB RAM, 256GB SSD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,999.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089E0,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_2020020469521999.jpg
2,1TS-000D-089F2,Computer Systems,Laptops / Notebooks,10,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 32GB RAM, 256GB NVMe SSD + 1TB HDD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1199.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089F2,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_202002042063965277.jpg
3,1TS-000D-089C6,Computer Systems,Laptops / Notebooks,10,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 32GB RAM, 2TB SSD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,1629.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089C6,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20200204865296930.jpg
4,1TS-000D-089B7,Computer Systems,Laptops / Notebooks,10,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 16GB RAM, 128GB NVMe SSD + 1TB HDD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,929.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089B7,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20200204597252537.jpg
5,1TS-000D-089F8,Computer Systems,Laptops / Notebooks,10,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 32GB RAM, 128GB NVMe SSD + 1TB HDD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1129.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089F8,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_20200204583843452.jpg
6,1TS-000D-089G1,Computer Systems,Laptops / Notebooks,10,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 32GB RAM, 512GB SSD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1329.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089G1,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_2020020498224768.jpg
7,1TS-000D-089E7,Computer Systems,Laptops / Notebooks,10,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 16GB RAM, 2TB SSD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1429.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089E7,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_20200204754125404.jpg
8,0GA-002N-00876,Computer Systems,Laptops / Notebooks,10,DELL,"Dell Inspiron 15 5585 Laptop 15.6"" AMD Ryzen 7 3700U AMD Radeon RX Vega 10 512GB SSD 16GB RAM",,1591.98,0.0,https://www.newegg.com/p/0GA-002N-00876,//c1.neweggimages.com/ProductImageCompressAll300/ADYY_1_20190624889316735.jpg
9,1TS-000A-03RX5,Computer Systems,Laptops / Notebooks,10,DELL,Dell XPS 15 9570 Intel Core i9-8950HK NVIDIA GeForce GTX 1050 Ti 32 GB RAM 1 TB SSD Windows 10 Home 64-Bit,,4199.99,0.0,https://www.newegg.com/silver-dell-xps-15-9570/p/1TS-000A-03RX5,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/ADYY_1_201806061457099765.jpg
