,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,N82E16834235175,Computer Systems,Laptops / Notebooks,4,ASUS,"ASUS ZenBook S13 Ultra Thin & Light Laptop 13.9"" FHD, Intel Core i7-8565U CPU, GeForce MX150, 8 GB RAM, 512 GB PCIe SSD, Windows 10 Pro, Silver Blue, UX392FN-XS71","Free ASUS zenfone w/ purchase, limited offer",1049.99,0.0,https://www.newegg.com/utopia-blue-asus-zenbook-ux392fn-xs71-mainstream/p/N82E16834235175?Item=N82E16834235175,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-175-V19.jpg
1,N82E16834235138,Computer Systems,Laptops / Notebooks,4,ASUS,"ASUS ZenBook S, 13.3” UHD 4K Touch, 8th Gen Whiskey Lake Intel Core i7-8565U Processor, 16GB RAM, 512GB PCIe SSD, FP Sensor, Thunderbolt, Windows 10 Professional - UX391FA-XH74T Deep Dive Blue laptop",,1449.99,0.0,https://www.newegg.com/deep-dive-blue-rose-gold-asus-logo-zenbook-s-ux391fa-xh74t-mainstream/p/N82E16834235138?Item=9SIA8X5AY75212,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-138-V19.jpg
2,N82E16834235288,Computer Systems,Laptops / Notebooks,4,ASUS,"ASUS Laptop ZenBook UX434FLC-XH77 Intel Core i7 10th Gen 10510U (1.80 GHz) 16 GB LPDDR3 Memory 512 GB SSD NVIDIA GeForce MX250 14.0"" Windows 10 Pro 64-bit",,1199.99,0.0,https://www.newegg.com/dark-royal-blue-asus-zenbook-ux434flc-xh77-mainstream/p/N82E16834235288?Item=N82E16834235288,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-288-V01.jpg
3,1TS-001A-021N8,Computer Systems,Laptops / Notebooks,4,ASUS,"ASUS ZenBook 14 Ultra-Slim Laptop 14"" Full HD 4-Way NanoEdge Bezel, AMD R7 3700U CPU, 8 GB RAM, 1 TB PCIe SSD, NumberPad, Windows 10 - UM433DA-DH75, Icicle Silver",,1099.00,0.0,https://www.newegg.com/icicle-silver-asus-zenbook-um433da-dh75-mainstream/p/1TS-001A-021N8?Item=9SIA7ABB2H7424,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A7ABS200211AMMij.jpg
4,1TS-001A-021P0,Computer Systems,Laptops / Notebooks,4,ASUS,"ASUS ZenBook 14 Ultra-Slim Laptop 14"" Full HD 4-Way NanoEdge Bezel, AMD R7 3700U CPU, 8 GB RAM, 1 TB PCIe SSD, NumberPad, Windows 10 Pro- UM433DA-DH75, Icicle Silver",,1249.00,0.0,https://www.newegg.com/icicle-silver-asus-zenbook-um433da-dh75-mainstream/p/1TS-001A-021P0?Item=9SIA7ABB2H7427,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A7ABS200211ePUOu.jpg
5,N82E16834736079,Computer Systems,Laptops / Notebooks,4,Microsoft,"Microsoft Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8 GB Memory - 256 GB Solid State Drive (Latest Model) - Platinum with Alcantara",,1299.00,8.69,https://www.newegg.com/platinum-with-alcantara-material-palm-rest-microsoft-surface-laptop-3-v4c-00001-mainstream/p/N82E16834736079?Item=N82E16834736079,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-736-079-V01.jpg
6,N82E16834849822,Computer Systems,Laptops / Notebooks,4,DELL,"DELL Laptop XPS XPS9370-7002SLV Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 13.3"" Windows 10 Home 64-bit",,1060.99,0.0,https://www.newegg.com/silver-machined-aluminum-dell-xps9370-7002slv-mainstream/p/N82E16834849822?Item=N82E16834849822,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-849-822-Z09.jpg
7,1TS-000D-032G0,Computer Systems,Laptops / Notebooks,4,HP,"HP EliteBook 840 G5 Premium School and Business Laptop (Intel 8th Gen i7-8550U Quad-Core, 16GB RAM, 256GB PCIe SSD, 14"" FHD 1920x1080 Sure View Display, Thunderbolt3, NFC, Fingerprint, Win 10 Pro)",Free Expedited Shipping,1449.00,0.0,https://www.newegg.com/p/1TS-000D-032G0?Item=9SIA7AB8D73120,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201811092013621813.jpg
8,N82E16834155344,Computer Systems,Laptops / Notebooks,4,MSI,"MSI Laptop PS Series PS42 Modern-074 Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 256 GB NVMe SSD NVIDIA GeForce GTX 1050 Max-Q 14.0"" Windows 10 Home 64-bit",,1039.99,0.0,https://www.newegg.com/grey-with-blue-diamond-cut-msi-ps-series-ps42-modern-074/p/N82E16834155344?Item=9SIA8X5B6M5713,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-344-V10.jpg
9,1TS-000A-08P48,Computer Systems,Laptops / Notebooks,4,DELL,"Dell Latitude 5490 14"" HD (1366x768) Business Laptop (Intel Quad-Core i5-8350U VPro, 16GB DDR4 RAM, 1TB SSD) Backlit, Type-C, VGA, HDMI, Webcam, Windows Hello, Windows 10 Pro 64-bit",,1029.99,0.0,https://www.newegg.com/p/1TS-000A-08P48?Item=9SIADG3B1G5867,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/ADG3S200203WexB6.jpg
