,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-000D-089G2,Computer Systems,Laptops / Notebooks,4,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 16GB RAM, 256GB NVMe SSD + 1TB HDD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,999.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089G2,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_202002041420954086.jpg
1,1TS-000D-087V3,Computer Systems,Laptops / Notebooks,4,HP,"Newest HP 15.6"" HD Touchscreen Premium Business Laptop PC, AMD Ryzen 7 3700U Quad-Core upto 4.0GHz, 16GB RAM, 1024GB SSD, AMD Radeon RX Vega 10 Graphics, 802_11_AC, HDMI, Bluetooth, USB-C, Windows 10",,854.99,0.0,https://www.newegg.com/silver-hp-mainstream/p/1TS-000D-087V3,//c1.neweggimages.com/ProductImageCompressAll300/AK1E_1_202001221664199281.jpg
2,1TS-001A-01TS0,Computer Systems,Laptops / Notebooks,4,ASUS,"ASUS FX705DT 17.3"" Customized Gaming Laptop | AMD Ryzen 7 3750H Processor | 16GB RAM 256GB SSD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1027.50,0.0,https://www.newegg.com/p/1TS-001A-01TS0,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_202001281913377908.jpg
3,1TS-000D-089D0,Computer Systems,Laptops / Notebooks,4,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 32GB RAM, 512GB NVMe SSD + 1TB HDD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,1329.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089D0,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_202002041917028356.jpg
4,1TS-001A-01TU5,Computer Systems,Laptops / Notebooks,4,ASUS,"ASUS FX705DT 17.3"" Customized Gaming Laptop | AMD Ryzen 7 3750H Processor | 16GB RAM 128GB SSD 500GB HDD | GeForce GTX 1650 4GB GDDR5 | RGB Backlit Keyboard | Windows 10 Black",,1027.50,0.0,https://www.newegg.com/p/1TS-001A-01TU5,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_202001281913377908.jpg
5,1TS-000D-089G5,Computer Systems,Laptops / Notebooks,4,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 32GB RAM, 1TB SSD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1429.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089G5,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_202002041503315776.jpg
6,1TS-000D-089F7,Computer Systems,Laptops / Notebooks,4,HP,"HP 17 Notebook, 17.3"" HD+ Display, AMD Ryzen 7 3700U Upto 4.0GHz, 32GB RAM, 2TB SSD, Vega 10, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1629.99,0.0,https://www.newegg.com/black-textured-hp-17/p/1TS-000D-089F7,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_202002043490071.jpg
7,2SN-0001-010N6,Computer Systems,Laptops / Notebooks,4,Apple,"Apple MacBook Pro ""Core i9"" 2.4 15"" TouchBar (2019) BTO/CTO - 9th gen Intel Core i9-9980HK 8-Core Processor 16M Cache, up to 5.00GHz, 32GB LPDDR4, 512 GB SSD, AMD Radeon Pro 560X 4GB - A1990 MV912LL/A",,2999.00,0.0,https://www.newegg.com/space-gray-apple-macbook-pro-a1990-creating-designing/p/2SN-0001-010N6,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A60G_132107220123282356dEDx3wAKut.jpg
8,1TS-001A-00J18,Computer Systems,Laptops / Notebooks,4,ASUS,"ASUS - 15.6"" Gaming Laptop - AMD Ryzen 7 - 16GB Memory - NVIDIA GeForce GTX 1660 Ti Max-Q - 512GB Solid State Drive - Metalic Hairline Black Notebook PC Computer GA502DU-BR7N6",,1149.99,0.0,https://www.newegg.com/black-asus-ga502d-gaming-entertainment/p/1TS-001A-00J18,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8X5_132027963884381429WLMcMlBE2M.jpg
9,1TS-000A-04P58,Computer Systems,Laptops / Notebooks,4,DELL,"Dell Inspiron 5575 15.6"" FHD Notebook, AMD Quad-Core Ryzen 7 2700U Upto 3.8GHz, 16GB RAM, 2TB SSD, Radeon Vega 10, HDMI, Card Reader, LAN, Wi-Fi, Bluetooth, Windows 10 Home",Free Expedited Shipping,1345.49,0.0,https://www.newegg.com/silver-dell-inspiron-5575-creating-designing/p/1TS-000A-04P58,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_201905231432136847.jpg
