,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-001A-00J89,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 512GB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Home)",Free Expedited Shipping,1931.99,0.0,https://www.newegg.com/p/1TS-001A-00J89,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
1,1TS-001A-00J49,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 2TB  PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Webcam, Win 10 Pro)",Free Expedited Shipping,2639.99,0.0,https://www.newegg.com/p/1TS-001A-00J49,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
2,1TS-001A-00J75,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 512GB  PCIe SSD + 2TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Home)",,1852.49,0.0,https://www.newegg.com/p/1TS-001A-00J75,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
3,1TS-001A-00J68,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 512GB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Pro)",Free Expedited Shipping,2351.99,0.0,https://www.newegg.com/p/1TS-001A-00J68,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
4,1TS-001A-00J91,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 1TB  PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Webcam, Win 10 Home)",Free Expedited Shipping,2219.99,0.0,https://www.newegg.com/p/1TS-001A-00J91,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
5,1TS-001A-00J65,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 1TB  PCIe SSD + 2TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Pro)",,2519.99,0.0,https://www.newegg.com/p/1TS-001A-00J65,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
6,1TS-001A-00J58,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 1TB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Pro)",,2231.99,0.0,https://www.newegg.com/p/1TS-001A-00J58,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
7,1TS-001A-00J55,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 2TB  PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Webcam, Win 10 Pro)",Free Expedited Shipping,2879.99,0.0,https://www.newegg.com/p/1TS-001A-00J55,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
8,1TS-001A-00J52,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 2TB  PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Webcam, Win 10 Home)",Free Expedited Shipping,2699.99,0.0,https://www.newegg.com/p/1TS-001A-00J52,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
9,1TS-001A-00J84,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 1TB  PCIe SSD + 2TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Home)",,2099.99,0.0,https://www.newegg.com/p/1TS-001A-00J84,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
10,1TS-001A-00J45,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 1TB  PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Webcam, Win 10 Pro)",,2159.99,0.0,https://www.newegg.com/p/1TS-001A-00J45,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
11,1TS-001A-00J83,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 1TB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Home)",Free Expedited Shipping,2051.99,0.0,https://www.newegg.com/p/1TS-001A-00J83,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
12,1TS-001A-00J92,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 1TB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Home)",,2291.99,0.0,https://www.newegg.com/p/1TS-001A-00J92,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
13,1TS-001A-00J70,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 1TB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Pro)",Free Expedited Shipping,2711.99,0.0,https://www.newegg.com/p/1TS-001A-00J70,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
14,1TS-001A-00J66,Computer Systems,Laptops / Notebooks,6,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 2TB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Pro)",Free Expedited Shipping,2262.49,0.0,https://www.newegg.com/p/1TS-001A-00J66,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
