,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-000A-08JP6,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 256GB SSD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,883.26,0.0,https://www.newegg.com/p/1TS-000A-08JP6,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
1,1TS-000A-08JN4,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 24GB RAM 512GB SSD 1TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,890.94,0.0,https://www.newegg.com/p/1TS-000A-08JN4,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
2,1TS-000A-08JR0,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 256GB SSD 500GB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,906.30,0.0,https://www.newegg.com/p/1TS-000A-08JR0,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
3,1TS-000A-08JH9,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 16GB RAM 500GB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,698.92,0.0,https://www.newegg.com/p/1TS-000A-08JH9,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
4,1TS-000A-08JP1,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 24GB RAM 128GB SSD 1TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,829.49,0.0,https://www.newegg.com/p/1TS-000A-08JP1,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
5,1TS-000A-08JN2,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 128GB SSD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,860.22,0.0,https://www.newegg.com/p/1TS-000A-08JN2,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
6,1TS-000A-08JK5,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 256GB SSD 1TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,929.34,0.0,https://www.newegg.com/p/1TS-000A-08JK5,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
7,1TS-000A-08JM4,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 1TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,875.58,0.0,https://www.newegg.com/p/1TS-000A-08JM4,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
8,1TS-000A-08JG2,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 16GB RAM 256GB SSD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,729.65,0.0,https://www.newegg.com/p/1TS-000A-08JG2,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
9,1TS-000E-0HZR0,Computer Systems,Laptops / Notebooks,22,Lenovo,"Lenovo ThinkPad E595 Notebook, 15.6"" FHD Display, AMD Ryzen 7 3700U, 16GB RAM, 128GB NVMe SSD + 1TB HDD, Vega 10, HDMI, Card Reader, Wi-Fi, BT, Windows 10 Pro",OUT OF STOCK,1069.99,0.0,https://www.newegg.com/black-lenovo-thinkpad-e595/p/1TS-000E-0HZR0,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20200313548001114.jpg
10,1TS-000A-08JN6,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 128GB SSD 500GB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,883.26,0.0,https://www.newegg.com/p/1TS-000A-08JN6,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
11,1TS-000A-08JP2,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 128GB SSD 2TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,937.02,0.0,https://www.newegg.com/p/1TS-000A-08JP2,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
12,1TS-000A-08JF0,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 16GB RAM 128GB SSD 500GB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,729.65,0.0,https://www.newegg.com/p/1TS-000A-08JF0,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
13,1TS-000A-08JP9,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 24GB RAM 1024GB SSD 1TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,983.10,0.0,https://www.newegg.com/p/1TS-000A-08JP9,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
14,1TS-000A-08JK0,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 16GB RAM 2TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,752.69,0.0,https://www.newegg.com/p/1TS-000A-08JK0,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
15,1TS-000A-08JK9,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 24GB RAM 256GB SSD 1TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,852.53,0.0,https://www.newegg.com/p/1TS-000A-08JK9,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
16,1TS-000A-08JM0,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 500GB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,852.53,0.0,https://www.newegg.com/p/1TS-000A-08JM0,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
17,1TS-000A-08JP3,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 24GB RAM 1024GB SSD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,937.02,0.0,https://www.newegg.com/p/1TS-000A-08JP3,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
18,1TS-000A-08JH3,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 16GB RAM 256GB SSD 2TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,806.45,0.0,https://www.newegg.com/p/1TS-000A-08JH3,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
19,1TS-000A-08JN1,Computer Systems,Laptops / Notebooks,22,DELL,"Dell Inspiron 5000 Series 15.6"" Customized Laptop | AMD Ryzen 7 2700U Quad-Core | 32GB RAM 512GB SSD 1TB HDD | Full HD | Radeon Vega 10 Graphics | Windows 10 Home Silver",OUT OF STOCK,967.74,0.0,https://www.newegg.com/p/1TS-000A-08JN1,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200121335570724.jpg
