,brand,model_listing,price,shipping
0,GIGABYTE,"GIGABYTE AERO 17 HDR YB-8US4450SP, 17.3"" 4K/UHD Gaming Laptop, Intel Core i7-10875H, RTX 2080 Super Max-Q, 32 GB Memory, 1 TB SSD","$3,699.00",Free Shipping
1,MSI,"MSI Laptop Creator 17M A10SE-216 Intel Core i7 10th Gen 10750H (2.60 GHz) 16 GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 2060 17.3"" Windows 10 Pro 64-bit","$1,499.00",$2.99 Shipping
2,MSI,"MSI Laptop Creator 15M A10SE-421 Intel Core i7 10th Gen 10750H (2.60 GHz) 16 GB Memory 1 TB SSD NVIDIA GeForce RTX 2060 15.6"" Windows 10 Pro 64-bit","$1,499.00",$2.99 Shipping
3,GIGABYTE,"GIGABYTE AERO 17 YB-7US1430SH, 17.3"" Gaming Laptop, Intel Core i7-10750H, RTX 2080 Super Max-Q, 32 GB Memory, 512 GB SSD","$2,599.00",Free Shipping
4,GIGABYTE,"GIGABYTE AERO 17 XB-7US1130SH, 17.3"" Gaming Laptop, Intel Core i7-10750H, RTX 2070 Super Max-Q, 16 GB Memory, 512 GB SSD","$2,199.00",Free Shipping
5,Lenovo,"Lenovo ThinkPad P1 Gen 2 20QT001SUS 15.6"" Mobile Workstation - 3840 x 2160 - Core i7 i7-9850H - 16 GB RAM - 1 TB SSD - Midnight Black","$2,949.00",$2.99 Shipping
6,Acer America,"Acer Laptop ConceptD 5 Pro CN515-71P-71B6 Intel Core i7 9750H (2.60 GHz) 16 GB Memory 512 GB SSD NVIDIA Quadro T1000 15.6"" 64-bit Windows 10 Pro","$1,999.99",$2.99 Shipping
7,GIGABYTE,"GIGABYTE AERO 17 HDR XB-9US4450SP, 17.3"" 4K/UHD Gaming Laptop, Intel Core i9-10980HK, RTX 2070 Super Max-Q, 32 GB Memory, 1 TB SSD","$3,399.00",Free Shipping
8,MSI,"MSI Laptop Creator 17 A10SF-257 Intel Core i7 10th Gen 10875H (2.30 GHz) 16 GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 2070 Max-Q 17.3"" Windows 10 Pro 64-bit","$1,999.00",$2.99 Shipping
9,GIGABYTE,"GIGABYTE AERO 17 HDR XB-8US4130SP, 17.3"" 4K/UHD Gaming Laptop, Intel Core i7-10875H, RTX 2070 Super Max-Q, 16 GB Memory, 512 GB SSD","$2,899.00",Free Shipping
10,Lenovo,"Lenovo ThinkPad P53 20QN0016US 15.6"" Touchscreen Mobile Workstation - 1920 x 1080 - Xeon E-2276M - 32 GB RAM - 512 GB SSD - Midnight Black","$4,999.00",$2.99 Shipping
11,Lenovo,"Lenovo ThinkPad P43s 20RH000EUS 14"" Touchscreen Mobile Workstation - 1920 x 1080 - Core i7 i7-8665U - 16 GB RAM - 256 GB SSD - Glossy Black","$1,899.00",$2.99 Shipping
12,GIGABYTE,"GIGABYTE AERO 15 XB-7US1130SH, 15.6"" Gaming Laptop, Intel Core i7-10750H, RTX 2070 Super Max-Q, 16 GB Memory, 512 GB SSD","$2,099.00",Free Shipping
13,MSI,"MSI Laptop Creator 17 A10SFS-254 Intel Core i7 10th Gen 10875H (2.30 GHz) 32 GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 2070 Super Max-Q 17.3"" 4K/UHD Mini LED Display Windows 10 Pro 64-bit","$2,999.00",$2.99 Shipping
14,GIGABYTE,"GIGABYTE AERO 15 YB-7US1430SH, 15.6"" Gaming Laptop, Intel Core i7-10750H, RTX 2080 Super Max-Q, 32 GB Memory, 512 GB SSD","$2,499.00",Free Shipping
15,GIGABYTE,"GIGABYTE AERO 15 OLED YB-9US5750SP, 15.6"" 4K/UHD Gaming Laptop, Intel Core i9-10980HK, RTX 2080 Super Max-Q, 64 GB Memory, 1 TB SSD","$4,199.00",Free Shipping
16,Acer America,"Acer ConceptD 7 CN715-71-71TE 15.6"" Notebook - 3840 x 2160 - Core i7 i7-9750H - 16 GB RAM - 1 TB SSD - White","$2,601.99",$8.06 Shipping
17,DELL,"Dell - G3 15.6"" Gaming Laptop - Intel Core i7 9750H - 16GB Memory - NVIDIA GeForce GTX 1660Ti - 512GB SSD. Windows 10","$1,313.99",$2.99 Shipping
18,MSI,"MSI Laptop Creator 17 A10SE-256 Intel Core i7 10th Gen 10875H (2.30 GHz) 16 GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 2060 17.3"" Windows 10 Pro 64-bit","$1,799.00",$2.99 Shipping
19,Lenovo,"Lenovo IdeaPad S540-14IML Touch 81V00002US 14"" Notebook - 1920 x 1080 - Core i7 - 12 GB RAM - 512 GB SSD - Mineral Gray",$961.99,$2.99 Shipping
20,MSI,"MSI Laptop Creator 17 A10SGS-252 Intel Core i7 10th Gen 10875H (2.30 GHz) 32 GB Memory 2 TB NVMe SSD NVIDIA GeForce RTX 2080 Super Max-Q 17.3"" 4K/UHD Mini LED Display Windows 10 Pro 64-bit","$3,599.00",$2.99 Shipping
21,MSI,"MSI Laptop Modern 14 A10RAS-883 Intel Core i7 10th Gen 10510U (1.80 GHz) 8 GB Memory 512 GB NVMe SSD NVIDIA GeForce MX330 14.0"" Windows 10 Home 64-bit",$899.00,$2.99 Shipping
22,GIGABYTE,"Open Box: GIGABYTE AERO 15 Classic-YA-F74ADP Core i7-9750H NVIDIA GeForce RTX 2080 Max-Q 16 GB Memory 512 SSD Intel SSD Win 10 Pro High-End 15.6"" FHD 144 Hz Gaming Laptop","$1,955.00",Special Shipping
23,Lenovo,"Refurbished: Lenovo Grade A Laptop ThinkPad T460 Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Home 64-bit Multi-language",$391.99,$2.99 Shipping
24,DELL,"Refurbished: DELL Laptop E5450 Intel Core i5 5th Gen 5300U (2.30 GHz) 8 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$394.99,$2.99 Shipping
25,DELL,"Refurbished: Dell Grade A Latitude E7250 12.5"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 8 GB DDR3L 240 GB SSD Windows 10 Home 64-bit (Multi-language)",$379.99,$2.99 Shipping
26,DELL,"Refurbished: DELL Laptop Latitude E6520 Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 240 GB SSD Intel HD Graphics 3000 15.6"" Windows 10 Pro 64-bit",$338.99,$2.99 Shipping
27,DELL,"Refurbished: Refurbished: Dell Grade A Latitude E7250, Intel Core i5-5300U 2.30 GHz, 8 GB DDR3L, 512 GB SSD, 12.5"" Screen, Windows 10 Home 64-bit",$404.99,$2.99 Shipping
28,DELL,"Refurbished: DELL Ultrabook Latitude E7240 Intel Core i5 4th Gen 4300U (1.90 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 4400 12.5"" Windows 10 Pro 64-bit",$290.99,$2.99 Shipping
29,Apple,"Refurbished: Apple 13"" MacBook Air Retina display, 1.6GHz dual-core Intel Core i5, 128GB - Space Gray",$849.99,$2.99 Shipping
30,HP,"Refurbished: HP Grade A Probook 640 G1 14.0"" Laptop Intel Core i5 4th Gen 4200M (2.50 GHz) 16 GB DDR3L 360 GB SSD WIFI Windows 10 Home 64-bit (Multi-language)",$449.99,$2.99 Shipping
31,HP,"Refurbished: HP Laptop (Grade C Scratch & Dent) EliteBook 8460p Intel Core i5 2nd Gen 2520M (2.50 GHz) 4 GB Memory 250 GB HDD 14.0"" Windows 10 Pro 64-bit",$123.99,$2.99 Shipping
32,DELL,"Refurbished: Refurbished Dell Latitude E6520 15.6"" Intel Core i5-2520M 2.5GHz 8GB DDR3 1TB DVD Windows 10 Professional 64 Bits 1 Year Warranty",$339.99,$2.99 Shipping
33,DELL,"Refurbished: Refurbished Dell Grade A Latitude E6230 Laptop, Intel Core I5 3320M 2.6GHz, 8G DDR3, 1T, WIFI, 12INCH, Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$324.99,$2.99 Shipping
34,Lenovo,"Refurbished: Lenovo Laptop T430 Intel Core i5 3320M (2.60 GHz) 8 GB Memory 180 GB SSD Intel HD Graphics 4000 14.0"" Windows 10 Pro 64-Bit",$286.99,$3.99 Shipping
35,HP,"Refurbished: HP Laptop (Grade C Scratch & Dent) EliteBook 8470P Intel Core i5 3rd Gen 3320M (2.60 GHz) 4 GB Memory 250 GB HDD 14.0"" Windows 10 Pro 64-Bit",$136.99,$2.99 Shipping
