,brand,model_listing,price,shipping
0,Lenovo,"Refurbished: Lenovo ThinkPad T430 14.0"" Laptop - Intel Core i5 3320M 3rd Gen 2.6 GHz 8GB 500GB HDD DVD-RW Windows 10 Home 64-Bit - Webcam",$259.99,$2.99 Shipping
1,Lenovo,"Refurbished: Lenovo ThinkPad T430 14.0"" Laptop - Intel Core i5 3320M 3rd Gen 2.6 GHz 8GB 1TB HDD DVD-RW Windows 10 Home 64-Bit - Webcam",$317.99,$2.99 Shipping
2,HP,"Refurbished: HP Laptop EliteBook 8460P Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 750 GB HDD 14.0"" Windows 10 Pro 64-Bit",$340.99,$2.99 Shipping
3,DELL,"Refurbished: DELL Laptop E6320 Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 256 GB SSD 13.3"" Windows 10 Pro 64-Bit",$340.99,$2.99 Shipping
4,DELL,"Refurbished: DELL Laptop Latitude E6330 Intel Core i5 3rd Gen 3320M (2.60 GHz) 16 GB Memory 240 GB SSD 13.3"" Windows 10 Home 64-Bit",$341.99,$2.99 Shipping
5,HP,"Refurbished: Refurbished HP EliteBook 840G2 14.0"" Intel Core i5-5300U 2.30GHz 8GB DDR3 240GB SSD Windows 10 Professional 64 Bits 1 Year Warranty",$404.99,$2.99 Shipping
6,DELL,"Refurbished: DELL Laptop E6400 Intel Core 2 Duo 2.40 GHz 4 GB Memory 750 GB HDD 14.1"" Windows 10 Home 64-Bit",$199.99,Free Shipping
7,DELL,"Refurbished: DELL Laptop E6230 Intel Core i5 3rd Gen 3320M (2.60 GHz) 12 GB Memory 750 GB HDD 12.5"" Windows 10 Pro 64-Bit",$328.99,$2.99 Shipping
8,HP,"Refurbished: HP Laptop 2560P Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 256 GB SSD 12.5"" Windows 10 Pro 64-Bit",$288.99,Free Shipping
9,HP,"Refurbished: Refurbished HP EliteBook 840G2 14.0"" Intel Core i5-5300U 2.30GHz 8GB DDR3 120GB SSD Windows 10 Professional 64 Bits 1 Year Warranty",$392.99,Free Shipping
10,HP,"Refurbished: HP Laptop 6570B Intel Core i5 3210M (2.50 GHz) 4 GB Memory 320 GB HDD Intel HD Graphics 15.6"" Windows 7 Professional 64-Bit",$279.99,$2.99 Shipping
11,DELL,"Refurbished: DELL Laptop Latitude E5430 Intel Core i5 3210M (2.50 GHz) 12 GB Memory 500 GB HDD 14.0"" Windows 10 Home 64-Bit",$305.99,$3.99 Shipping
12,Lenovo,"Refurbished: Lenovo ThinkPad T430 14.0"" Laptop - Intel Core i5 3320M 3rd Gen 2.6 GHz 8GB 160GB SSD DVD-RW Windows 10 Pro 64-Bit - Webcam",$263.99,$2.99 Shipping
13,HP,"Refurbished: HP Grade A Elitebook 840G2 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 256 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$460.99,$2.99 Shipping
14,HP,"Refurbished: HP Grade A Elitebook 840G2 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 1 TB WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$459.99,$2.99 Shipping
15,HP,"Refurbished: HP Grade A Elitebook 840G2 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 512 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$490.99,$2.99 Shipping
16,HP,"Refurbished: HP Grade A Elitebook 840G2 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 1 TB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$553.99,$2.99 Shipping
17,HP,"Refurbished: HP Grade A Elitebook 840G2 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 8 GB DDR3L 1 TB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$486.99,$2.99 Shipping
18,HP,"Refurbished: HP Grade A Elitebook 840G2 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 500 GB WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$423.99,$2.99 Shipping
19,HP,"Refurbished: HP Grade A Elitebook 840G2 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 360 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$462.99,$2.99 Shipping
