,brand,model_listing,price,shipping
0,DELL,"Refurbished: DELL Laptop E7250 Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB Memory 500 GB SSD 12.5"" Windows 10 Pro 64-Bit",$395.99,$2.99 Shipping
1,DELL,"Refurbished: DELL Laptop E6540 Intel Core i5 4th Gen 4300M (2.60 GHz) 16 GB Memory 500 GB SSD 15.6"" Windows 10 Pro 64-Bit",$419.99,$2.99 Shipping
2,Lenovo,"Refurbished: Refurbished Lenovo ThinkPad T420S 14.0"" Intel Core i5-2520M 2.5GHz 4GB DDR3 320GB DVD Windows 10 Professional 64 Bits 1 Year Warranty",$286.99,$2.99 Shipping
3,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P 14"" Laptop, Intel Core i5 4th Gen 4300M (2.6 GHz), 8GB DDR3L, 512GB SSD, DVD, Win 10 Pro 64-bit",$420.99,$2.99 Shipping
4,DELL,"Refurbished: Refurbished Dell Latitude E6320 13.3"" Intel Core i7-2620M 2.7GHz 8GB DDR3 120GB SSD DVD Windows 10 Professional 64 Bits 1 Year Warranty",$369.99,$2.99 Shipping
5,DELL,"Refurbished: DELL Laptop E7250 Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB Memory 256 GB SSD 12.5"" Windows 10 Pro 64-Bit",$363.99,$2.99 Shipping
6,DELL,"Refurbished: DELL Grade A Laptop E6540 Intel Core i7 4th Gen 4600M (2.90 GHz) 16 GB Memory 240 GB SSD 15.6"" Windows 10 Pro 64-Bit",$454.99,$2.99 Shipping
7,HP,"Refurbished: HP Laptop 840 G1 Intel Core i5 4th Gen 4300U (1.90 GHz) 16 GB Memory 500 GB SSD 14.0"" Windows 10 Pro 64-Bit",$394.99,$2.99 Shipping
8,DELL,"Refurbished: DELL Grade B Laptop Precision 5510 Core i7 6820HQ (2.70 GHz) 16 GB Memory 480 SSD 15.6"" Windows 10",$705.99,$2.99 Shipping
9,Lenovo,"Refurbished: Lenovo Laptop X240 Core i7 4600U (2.10 GHz) 8 GB Memory 256 SSD 14.0"" Windows 10",$260.99,$2.99 Shipping
10,Lenovo,"Refurbished: Refurbished: Lenovo Grade A ThinkPad T440S, Intel Core I5-4300U 1.9GHz, 8G DDR3, 1T SSD, WiFi, 14"" Screen, Win 10 Home 64-bit, 1 Year Warranty",$479.99,$2.99 Shipping
11,DELL,"Refurbished: DELL Laptop Latitude E6530 Intel Core i7 3720QM (2.60 GHz) 8 GB Memory 128 GB SSD 15.6"" Windows 10 Pro 64-Bit",$424.99,$2.99 Shipping
12,DELL,"Refurbished: DELL Laptop Latitude E6530 Intel Core i7 3720QM (2.60 GHz) 12 GB Memory 750 GB HDD 15.6"" Windows 10 Pro 64-Bit",$441.99,$2.99 Shipping
13,DELL,"Refurbished: DELL Laptop Latitude E5430 Intel Core i5 3rd Gen 3320M (2.60 GHz) 8 GB Memory 240 GB SSD Intel HD Graphics 4000 14.0"" Windows 10 Pro 64-bit",$345.99,$2.99 Shipping
14,Intel,"Refurbished: MacBook A1534 Intel Core M-5Y31 X2 1.1GHz 8GB 256GB SSD, Space Gray (Refurbished)",$639.99,$2.99 Shipping
15,HP,"Refurbished: HP Grade A Probook 640G2 14.0"" Laptop Intel Core i5 6th Gen 6300U (2.40 GHz) 16 GB DDR4 256 GB SSD DVD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$502.99,$2.99 Shipping
16,DELL,"Refurbished: DELL Laptop Latitude E5430 Intel Core i5 3210M (2.50 GHz) 12 GB Memory 128 GB SSD 14.0"" Windows 10 Pro 64-Bit",$322.99,$3.99 Shipping
17,HP,"Refurbished: HP Grade A Laptop ProBook 640 G2 Intel Core i5 6th Gen 6300U (2.40 GHz) 16 GB Memory 1 TB SSD Intel HD Graphics 520 14.0"" Windows 10 Home 64-bit",$599.99,$2.99 Shipping
18,DELL,"Refurbished: DELL Laptop Latitude E6410 Intel Core i5 1st Gen 520M (2.40 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 14.1"" Windows 10 Pro",$281.99,$2.99 Shipping
19,DELL,"Refurbished: DELL Grade A Laptop Latitude E6440 Intel Core i5 4th Gen 4300M (2.60 GHz) 8 GB Memory 512 GB SSD Intel HD Graphics 4600 14.0"" Windows 10 Home 64-bit",$399.99,$2.99 Shipping
20,Apple,"Refurbished: Apple Grade A Laptop MacBook Air (Early 2015) A1465 Intel Core i7 5th Gen 5650U (2.20 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 6000 13.3"" Mac OS X v10.12 Sierra","$1,019.99",$2.99 Shipping
21,DELL,"Refurbished: Refurbished Dell Latitude E7240 12.5"" Intel Core i5-4200U 1.6GHz 8GB DDR3 120GB SSD Windows 10 Professional 64 Bits 1 Year Warranty",$362.99,$2.99 Shipping
22,HP,"Refurbished: HP Grade A Probook 640G1 14.0"" Laptop Intel Core i5 4th Gen 4200M (2.50 GHz) 16 GB DDR3L 512 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$479.99,$2.99 Shipping
23,HP,"Refurbished: HP Laptop EliteBook 8440P Intel Core i5 2.40 GHz 8 GB Memory 256 GB SSD 14.1"" Windows 10 Pro 64-Bit",$284.99,$2.99 Shipping
24,HP,"Refurbished: HP Grade A Laptop ProBook 640 G2 Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Home 64-bit",$430.99,$2.99 Shipping
25,HP,"Refurbished: HP Grade A Laptop EliteBook 8440P Intel Core i5 1st Gen 520M (2.40 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 14.0"" Windows 10 Home 64-bit Multi-language",$276.99,$2.99 Shipping
26,DELL,"Refurbished: Refurbished Dell Grade A Latitude E5450 14"" Laptop, Intel Core I5-5200U 2.2 GHz, 8GB Memory, 480G SSD, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$414.99,$2.99 Shipping
27,Lenovo,"Refurbished: Lenovo Laptop L460 Intel Core i5 6300U (2.40 GHz) 16 GB Memory 480 SSD 14.0"" Windows 10",$445.99,$2.99 Shipping
28,DELL,Refurbished: DELL Grade A Laptop Precision 7510 Intel i7-6920HQ (2.9GHz) 32 GB Memory 1000 SSD 15.6 Windows 10 Pro,$832.99,$2.99 Shipping
29,HP,"Refurbished: HP Grade A Laptop EliteBook 745 G2 AMD A10-Series A10-7350B (2.10 GHz) 16 GB Memory 500 GB HDD AMD Radeon R6 Series 14.0"" Windows 10 Home 64-bit Multi-language",$413.99,$2.99 Shipping
30,Lenovo,Refurbished: Lenovo Grade A Laptop T460S Intel i5-6200U (2.3GHz) 12 GB Memory 512 SSD 14 Windows 10 Pro,$502.99,$2.99 Shipping
31,DELL,"Refurbished: DELL A Grade Laptop Precision 3510 Intel 6700HQ (2.6 GHz) 16 GB Memory 512 SSD 15.6"" Windows 10",$598.99,$2.99 Shipping
32,Lenovo,"Refurbished: Lenovo Grade A Laptop ThinkPad T460 Intel Core i5 6th Gen 6300U (2.40 GHz) 12 GB Memory 1 TB HDD Intel HD Graphics 520 14.0"" Windows 10 Home 64-bit Multi-language",$445.99,$2.99 Shipping
33,Toshiba,"Refurbished: TOSHIBA Grade B Laptop Portege Z30-B Intel Core i7 5600U (2.60 GHz) 8 GB Memory 256 GB SSD 13.3"" Windows 10",$409.99,$2.99 Shipping
34,HP,"Refurbished: HP Grade A Laptop EliteBook 745 G2 AMD A10-Series A10-7350B (2.10 GHz) 12 GB Memory 512 GB SSD AMD Radeon R6 Series 14.0"" Windows 10 Home 64-bit Multi-language",$469.99,$2.99 Shipping
35,Lenovo,Refurbished: Lenovo Grade A Laptop T460S Intel i5-6200U (2.3GHz) 12 GB Memory 1000 SSD 14 Windows 10 Pro,$593.99,$2.99 Shipping
