,brand,model_listing,price,shipping
0,HP,"Refurbished: HP Laptop 820 G1 Intel Core i5 4300U (1.90 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$428.99,Free Shipping
1,HP,"Refurbished: HP Laptop 820 G2 Core i7 5600U (2.60 GHz) 8 GB Memory 1000 SSD 12.5"" Windows 10",$472.99,$2.99 Shipping
2,DELL,"Refurbished: DELL Laptop E5570 Core i7 6600U (2.60 GHz) 16 GB Memory 1000 SSD 15.6"" Windows 10",$774.99,$2.99 Shipping
3,HP,"Refurbished: Refurbished HP Grade A Zbook 15 G2, Intel Core I7-4810MQ 2.8 GHz, 16GB Memory, 1T SSD, DVDRW, 1G GDDR5 DG, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$699.99,$2.99 Shipping
4,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 1T SSD, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$480.99,$2.99 Shipping
5,DELL,"Refurbished: DELL Laptop E7440 Intel Core i7 4th Gen 4600U (2.10 GHz) 16 GB Memory 750 GB HDD 14.0"" Windows 10 Pro 64-Bit",$436.99,$2.99 Shipping
6,HP,"Refurbished: HP Laptop 850 G1 Core i7 4600U (2.10 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$481.99,$2.99 Shipping
7,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 120G SSD, WIFI, DVD, 14INCH , Win 10 Pro 64-bit Multi-Language, 1 Year Warranty",$384.99,$2.99 Shipping
8,DELL,"Refurbished: DELL Laptop E7440 Core i7 4600U (2.10 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$514.99,$2.99 Shipping
9,HP,"Refurbished: Refurbished HP Grade A Zbook 15 G2, Intel Core I7-4810MQ 2.8 GHz, 8GB Memory, 1T, DVDRW, 1G GDDR5 DG, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$559.99,$2.99 Shipping
10,HP,"Refurbished: HP Grade A EliteBook 840G1 14.0"" Laptop Intel Core i7 4th Gen 4600U (2.10 GHz) 8 GB DDR3L 480 GB SSD Windows 10 Home 64-bit (Multi-language) 1 Year Warranty",$460.99,$2.99 Shipping
11,DELL,"Refurbished: DELL Laptop E6540 Core i7 4600M (2.90 GHz) 8 GB Memory 256 SSD 14.0"" Windows 10",$390.99,$2.99 Shipping
12,Lenovo,"Refurbished: Lenovo Grade A ThinkPad T450 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 256 GB SSD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$482.99,$2.99 Shipping
13,DELL,"Refurbished: Dell Grade A Latitude 3340 13.3"" Laptop Intel Core i5 4th Gen 4210U (1.70 GHz) 8 GB DDR3L 120 GB SSD Windows 10 Home 64-bit (Multi-language) 1 Year Warranty",$355.99,$2.99 Shipping
14,HP,"Refurbished: Refurbished HP Grade A Elitebook 745G2 14"" Laptop, AMD A8 Pro-7150B 1.9 GHz, 8GB Memory, 512G SSD, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$378.99,$2.99 Shipping
15,Apple,"Refurbished: Apple MacBook MLH72LL/A Intel Core M3-6Y30 X2 1.1GHz 8GB 512GB SSD 12"", Silver (Scratch and Dent)",$739.99,$2.99 Shipping
16,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 1T, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$384.99,$2.99 Shipping
17,HP,"Refurbished: Refurbished HP Grade A Elitebook Folio 9480M 14"" Laptop, Intel Core I7-4600U 2.1 GHz, 8GB Memory, 512G SSD, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$473.99,$2.99 Shipping
18,HP,"Refurbished: HP Laptop ZBook 14 G2 Intel Core i5 5300U (2.30 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$521.99,$2.99 Shipping
19,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 120G SSD, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$371.99,$2.99 Shipping
20,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad E450 14"" Laptop, Intel Core I3-5005U 2.0 GHz, 8GB Memory, 512G SSD, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$476.99,$2.99 Shipping
21,DELL,"Refurbished: DELL Laptop Precision 3510 Intel Core i5 6300HQ (2.30 GHz) 16 GB Memory 480 SSD 15.6"" Windows 10",$579.99,$2.99 Shipping
22,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad E450 14"" Laptop, Intel Core I3-5005U 2.0 GHz, 8GB Memory, 1T SSD, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$540.99,$2.99 Shipping
23,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 4G DDR3L, 320G, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$328.99,$2.99 Shipping
24,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 512G SSD, WIFI, DVD, 14INCH , Win 10 Pro 64-bit Multi-Language, 1 Year Warranty",$420.99,$2.99 Shipping
25,DELL,"Refurbished: Dell Grade A Latitude 3340 13.3"" Laptop Intel Core i5 4th Gen 4210U (1.70 GHz) 4 GB DDR3L 240 GB SSD Windows 10 Home 64-bit (Multi-language) 1 Year Warranty",$344.99,$2.99 Shipping
26,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 512G SSD, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$406.99,$2.99 Shipping
