,brand,model_listing,price,shipping
0,DELL,"Refurbished: DELL Laptop D820 Intel Core 2 Duo 1.83 GHz 2 GB Memory 80 GB HDD Integrated Graphics 15.5"" Windows 10 Home 64-Bit",$134.99,Free Shipping
1,DELL,"Refurbished: DELL Laptop Precision M6700 Intel Core i7 3rd Gen 3740QM (2.70 GHz) 16 GB Memory 512 GB SSD Intel HD Graphics 4000 17.3"" Windows 10 Pro 64-Bit",$719.99,$2.99 Shipping
2,DELL,"Refurbished: Refurbished Dell Grade A Precision M4800 15.6"" Laptop, Intel Core I7-4800MQ 2.7 GHz, 8GB Memory, 480G SSD, DVD, 2G GDDR5 DG, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$569.99,$2.99 Shipping
3,DELL,"Refurbished: Refurbished Dell Grade A Precision M4800 15.6"" Laptop, Intel Core I7-4800MQ 2.7 GHz, 8GB Memory, 1T SSD, DVD, 2G GDDR5 DG, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$642.99,$2.99 Shipping
4,DELL,"Refurbished: DELL Laptop E4310 Intel Core i5 1st Gen 540M (2.53 GHz) 4 GB Memory 256 GB SSD 13.3"" Windows 10 Pro 64-Bit",$240.99,$2.99 Shipping
5,DELL,"Refurbished: Refurbished Dell Grade A Precision M4800 15.6"" Laptop, Intel Core I7-4800MQ 2.7 GHz, 16GB Memory, 1T SSD, DVD, 2G GDDR5 DG, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$707.99,$2.99 Shipping
6,DELL,"Refurbished: Refurbished Dell Grade A Precision M4800 15.6"" Laptop, Intel Core I7-4800MQ 2.7 GHz, 16GB Memory, 480G SSD, DVD, 2G GDDR5 DG, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$633.99,$2.99 Shipping
7,DELL,"Refurbished: Refurbished Dell Grade A Precision M4800 15.6"" Laptop, Intel Core I7-4800MQ 2.7 GHz, 8GB Memory, 512G SSD, DVD, 2G GDDR5 DG, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",$575.99,$2.99 Shipping
8,HP,"Refurbished: HP Laptop EliteBook 8460P Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 240 GB SSD Intel HD Graphics 3000 14.0"" Windows 10 Pro",$327.99,$2.99 Shipping
9,DELL,"Refurbished: DELL Laptop E6530 Intel Core i5 3rd Gen 3210M (2.50 GHz) 12 GB Memory 750 GB HDD 15.6"" Windows 10 Pro 64-Bit",$418.99,$2.99 Shipping
10,DELL,"Refurbished: DELL Laptop E6430S Intel Core i7 3rd Gen 3520M (2.90 GHz) 16 GB Memory 240 GB SSD 14.0"" Windows 10 Pro 64-Bit",$385.99,Free Shipping
11,Lenovo,"Refurbished: Lenovo Laptop T430 Intel Core i5 3210M (2.50 GHz) 12 GB Memory 500 GB HDD 14.0"" Windows 10 Home 64-Bit",$295.99,Free Shipping
12,DELL,"Refurbished: DELL Laptop Latitude E6430 Intel Core i5 3rd Gen 3210M (2.50 GHz) 16 GB Memory 240 GB SSD 14.0"" Windows 10 Home 64-Bit",$355.99,$2.99 Shipping
13,HP,"Refurbished: HP Laptop EliteBook 8460P Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 320 GB HDD Intel HD Graphics 14.0"" Windows 7 Professional 64-Bit",$274.99,$2.99 Shipping
14,HP,"Refurbished: HP Laptop EliteBook 8570W Intel Core i7 3720QM (2.60 GHz) 16 GB Memory 750 GB HDD 15.6"" Windows 10 Pro 64-Bit",$449.99,$2.99 Shipping
15,Intel,"Refurbished: Intel MacBook Retina A1534 Intel Core M-5Y31 X2 1.1GHz 8GB 256GB SSD, Silver (Refurbished)",$649.99,$2.99 Shipping
16,DELL,"Refurbished: DELL Laptop E5420 Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$350.99,$3.99 Shipping
17,HP,"Refurbished: HP Laptop 8460P Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 240 GB SSD 14.0"" Windows 10 Home 64-Bit",$335.99,$2.99 Shipping
18,DELL,"Refurbished: DELL Laptop E6530 Intel Core i5 3rd Gen 3210M (2.50 GHz) 16 GB Memory 256 GB SSD Intel HD Graphics 4000 15.6"" Windows 10 Pro 64-Bit",$396.99,$2.99 Shipping
19,HP,"Refurbished: HP Laptop 2560P Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 240 GB SSD 12.5"" Windows 10 Home 64-Bit",$314.99,Free Shipping
20,Lenovo,"Refurbished: Lenovo Laptop T430 Intel Core i5 3rd Gen 3320M (2.60 GHz) 16 GB Memory 240 GB SSD 14.0"" Windows 10 Home 64-Bit",$359.99,$3.99 Shipping
21,DELL,"Refurbished: DELL Laptop Latitude E5430 Intel Core i5 3210M (2.50 GHz) 6 GB Memory 128 GB SSD 14.0"" Windows 10 Pro 64-Bit",$285.99,$3.99 Shipping
22,DELL,"Refurbished: DELL Laptop Latitude E5430 Intel Core i5 3rd Gen 3320M (2.60 GHz) 8 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$291.99,$3.99 Shipping
23,DELL,"Refurbished: DELL Laptop E5500 Intel Core 2 Duo 2.00 GHz 4 GB Memory 320 GB HDD 15.4"" Windows 10 Home 64-Bit",$173.99,$2.99 Shipping
24,DELL,"Refurbished: DELL Laptop E4310 Intel Core i5 1st Gen 520M (2.40 GHz) 8 GB Memory 256 GB SSD 13.3"" Windows 10 Home 64-Bit",$260.99,$3.99 Shipping
25,Lenovo,"Refurbished: Lenovo Laptop T420 Intel Core i5 2520M (2.50 GHz) 16 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$352.99,Free Shipping
26,Lenovo,"Refurbished: Lenovo Laptop X230 Intel Core i5 3rd Gen 3320M (2.60 GHz) 16 GB Memory 256 GB SSD 12.5"" Windows 10 Pro 64-Bit",$363.99,$3.99 Shipping
